domain,sentence_type,direction,source_text,target_text,alignment_method,quality_flags,notes,source_doc
dictionary,lexeme_gloss,en_to_fj,foreword (to a book).,taumada,parse_gatty_basic+invert,inverted,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,en_to_fj,"lady, as a form of address, usually followed by a first name. adi is sometimes sounded as yadi",adi,parse_gatty_basic+invert,inverted,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,en_to_fj,"influence of lau. when followed by a name, adi may be heard abbreviated informally as di, as in di lala for adi lalabalavu, and this short version is not disrespectful. like the man ’s chiefly title ratu, this form of address was limited to the eastern coast of viti levu but has become commonly adopted by chiefly women throughout fiji. the origin may come from the ra word yadi (also used in parts of tailevu), meaning to take, as a chief takes up a woman when he takes her as a wife. but that is idle speculation.",under,parse_gatty_basic+invert,inverted,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,en_to_fj,"senitoa n. hibiscus festival usually held annually in august in suva with parade and floats. a “queen”, adi senitoa, is selected. a great deal of rain usually falls during this week , giving the local",adi,parse_gatty_basic+invert,inverted,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,en_to_fj,"“hibiscus weather”. senitoa hibiscus rosasinensis, malvaceae, the introduced, ornamental hibiscus flower.",expression,parse_gatty_basic+invert,inverted,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,en_to_fj,"(or) yagelo (eng., rom. cath.) n. angel.",agelo,parse_gatty_basic+invert,inverted,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,en_to_fj,"(or) agilosi (eng., prot.) n. angel. idiom: agilosi flattering reference to a beautifully natured girl.",agelosi,parse_gatty_basic+invert,has_idiom;inverted,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,en_to_fj,(eng.) ireland.,ailadi,parse_gatty_basic+invert,inverted,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,en_to_fj,(eng.) n. ice. aisi boloko ice block.,aisi,parse_gatty_basic+invert,inverted,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,en_to_fj,"(or) aisikirimi (eng.) n. ice cream, that fij ians usually spell as one word.",aisikirimu,parse_gatty_basic+invert,inverted,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,en_to_fj,"(eng. angl. church) n. archbishop. syn.(rom. cath.) aravikavo, arekavikavo.",ajibisovi,parse_gatty_basic+invert,has_syn;inverted,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,en_to_fj,"(eng.) n. account (bank). ala, alaca (cakau) v. to remove wood from fire, to reduce or extinguish the flame; usually one hears",akaude,parse_gatty_basic+invert,inverted,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,en_to_fj,"na buka or me ala na buka. (buka firewood). the word may be written, less often heard, as yala, yalaca . abbrev. of tala, talaca.",alaca,parse_gatty_basic+invert,inverted,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,en_to_fj,". n. millipede; three harmless types, one small and brown, one small and black, one large and black , which leaves a yellow stain when its belly is touched, the yellow fluid irritating to human skin.",aliva,parse_gatty_basic+invert,inverted,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,en_to_fj,". (bible) alpha, used in the expression aliva kei na omeka from beginning to the end, lit., from alpha and omega, first and last letters of the greek alphabet.",aliva,parse_gatty_basic+invert,inverted,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,en_to_fj,"(eng. acronym) n. agricultural landowners and tenants act, which has governed the leasing of native land. “alto” (or) alato (eng.) alto singing voice. syn. (lau) kanokano. “ambar” (hindi) n. white-fleshed turmeric, used fresh for pickles, especially by gujerati indians, or raw",alta,parse_gatty_basic+invert,has_syn;inverted,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,en_to_fj,"(eng.) n. anthurium, a genus of plants of south american origin. these attractive durable flowers, usually bright red, are grown commercially by some fij ian women who sell to hotels. very few local people know that this plant is quite toxic. “apei” (rotuma) n. very fine white mat woven by rotumans from pandanus leaf, a principal item used",aniciuramu,parse_gatty_basic+invert,inverted,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,en_to_fj,"(eng.) n. apple (imported from australia, new zealand).",apolo,parse_gatty_basic+invert,inverted,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,en_to_fj,(bible) apostle. araneke! (interj ection) cheat ! (usually at card games). syn. ereneke!,apositolo,parse_gatty_basic+invert,has_syn;inverted,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,en_to_fj,(bible) n . ass (the animal). none in fij i.,asa,parse_gatty_basic+invert,inverted,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,en_to_fj,"(eng.) n. aspirin. due to successful marketing, aspirin these days is largely displaced by the omnipresent, more expensive panadol, much used by urban fij ians.",asipirini,parse_gatty_basic+invert,inverted,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,en_to_fj,"i (or) me. pronoun, st person singular. as the subj ect of the sentence it can become oi au or o yau. preceded by a vowel it may become yau: raica e dua vei keirau, o seru se o yau. see one of us (two, exc. the one being talked to), either seru or me. following the particles me or ni it becomes abbreviated as meu and niu, sometimes seen as me ’u and ni ’u. syn. (tonga) au. (colo east, namosi) ’u.",au,parse_gatty_basic+invert,has_syn;has_see;inverted,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,en_to_fj,(eng.) n. hour. also spelled auwa. ena veiaua kece at all hours. ena veimama na aua in half an hour.,aua,parse_gatty_basic+invert,inverted,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,en_to_fj,(eng) n. haversack.,avisaki,parse_gatty_basic+invert,inverted,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,en_to_fj,(slang) n. lazy person who shirks work. this is a man ’s name but how it has come to take on a lazy implication is an elusive story.,avorosa,parse_gatty_basic+invert,inverted,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,en_to_fj,"b. this letter b does not exist in the local language of drekeniwai, near nasavusavu, vanua levu island.",fijian,parse_gatty_basic+invert,inverted,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,en_to_fj,". n. edible stalk of taro, considered a delicacy, steamed with the skin removed. lemon and chili",ba,parse_gatty_basic+invert,inverted,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,en_to_fj,"as a modern touch, not traditional. it is also a special ceremonial gift-food",pepper are sometimes added,parse_gatty_basic+invert,inverted,,Fijian-English_Dictionary.txt
