domain,subdomain,source_id,source_doc,source_lang,target_lang,direction,source_text,target_text
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000001,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,----------------------- page -----------------------,----------------------- page -----------------------
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000002,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,a guide for self-isolating at home,na ivakasala ni tiko vakatikitiki e vale
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000003,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,for more information visit health.gov.fj,(self-isolation) raica na ivakaro ni covid- ena
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000004,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,"in this example, mika lives with joji, maria and sova. mika is the first case of covid- in this household. he and everyone in the household begin self-isolating from the",health.gov.fj
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000005,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,"day mika’s symptoms start (or if he had no symptoms, from the date of his positive test). if someone in the household is at high risk of severe covid- – in particular","o mika na iliuliu ni matavuvale ka ratou lewena o joji, maria, kei sova. o mika e a tauvi koya e liu taumada na covid-. na siga e laurai kina vei mika na ivakatakilakila ni"
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000006,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,"individuals over years, have a chronic illness such as diabetes, heart disease, kidney disease, asthma, are obese, or are pregnant – we need them to visit one of our",covid- ratou sa sa tekivu tiko vakatikitiki (self-isolate) taki iratou vakamatavuvale. e dodonu tale ga mo ni tiko vakatikitiki (self-isolate) kevaka ratou sa vakadeitaka mai
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000007,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,"screening clinics and get tested. if you test positive, then we will ensure you are provided immediate care by our health teams.",na tabana ni bula ni ko sa tauvi covid- (positive) dina ga ni o sega ni vakila se laurai vei iko na kena ivakatakilakila. mo ni kila ke dua na lewe ni nomuni matavuvale
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000008,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,mika joji maria sova,"e vakila se laurai vei koya na ivakatakilakila ni covid- ka: sivia na na nodra yabaki ni bula, se tauvi mate ni suka, se mate ni uto, se mate ni ivi, se dau cegu oca, se"
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000009,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,symptoms start or no symptoms no symptoms no symptoms,"levulevu sivia, se kunekune, se bukete tiko, me gole se kau vakatotolo sara ki na screening clinic me laki laurai kina. ke vakadeitaki ni sa tauvi covid- e sa na tekivu"
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000010,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,tested positive start isolation as a household start isolation as a household start isolation as a household,"sara na nona qaravi vakavuniwai. na ivakatakilakila ni covid- e oka kina na vuvu, savu ni ucu, bi ni ucu, surusuru, wawale, momosi ni yago, se mosi ni ulu, mosi ni"
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000011,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,start self-isolation contact contact contact,"tilotilo, katakata, coka, wadadamu ni mata, sega ni vakila na ikanakana ni kakana se boica rawa e dua na ka."
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000012,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,isolate for,mika joji maria sova
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000013,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,continue to self isolate symptoms start full days,vakila na ivakatakilakila sega ni tauvimate sega ni tauvimate sega ni tauvimate
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000014,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,"start new day self isolation,",ni mate se vakadeitaki tekivu na tiko vatikitiki me tekivu na tiko vatikitiki me tekivu na tiko vatikitiki me
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000015,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,from the day your continue isolation as this means you start new,vua na mate. tekivu na vaka ni tauvimate tiko e dua vaka ni tauvimate tiko e dua vaka ni tauvimate tiko e dua
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000016,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,symptoms started and a household contact day self-isolation from the day,vakatikitikitaki e vale na lewe ni matavuvale na lewe ni matavuvale na lewe ni matavuvale
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000017,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,for the next days your symptoms start,vakatikitikitaki e
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000018,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,symptoms start,tomani na vakatikitikitaki e tekivu tauvimate vale me na siga
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000019,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,"start new day self isolation,","vale me na siga, mai na tiko vakatikitiki baleta ni tekivu vou na na siga ni"
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000020,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,this means you start new,"gauna e tekivu vakilai tauvimate tiko e dua na vakatikitikitaki e vale, ni sa qai"
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000021,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,day self-isolation from the day,kina na mate lewe ni matavuvale vakilai na tauvimate
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000022,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,your symptoms start,tekivu tauvimate
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000023,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,continue to self-isolate continue to self-isolate,tekivu vou na na siga ni
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000024,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,from the day your from the day your,"vakatikitikitaki e vale, ni sa qai"
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000025,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,symptoms started and for symptoms started and for,vakilai na tauvimate
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000026,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,isolate for isolate for the next full days the next full days,tomani na vakatikitikitaki e tomani na vakatikitikitaki e
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000027,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,full days full days,"vale me na siga, mai na vale me na siga, mai na"
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000028,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,isolate for,gauna a tekivu vakilai gauna a tekivu vakilai
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000029,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,stop isolating if you stop isolating if you full days,vakatikitikitaki e vakatikitikitaki e kina na tauvimate kina na tauvimate
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000030,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,have completed days have completed days,vale me na siga vale me na siga
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000031,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,isolation and you have had isolation and you have had,vakatikitikitaki e
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000032,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,no symptoms for at least no symptoms for at least,cava na cava na vale me na siga
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000033,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,days prior days prior isolate for,veivakatikitikitaki ke sa veivakatikitikitaki ke sa
