domain,subdomain,source_id,source_doc,source_lang,target_lang,direction,source_text,target_text
medical,home_isolation,medical|home_isolation|c9398eb2e482,ocr_txt_bundle::home_isolation,fj,en,fj->en,Vakatikitikitaki e vale me 14 na siga.,Self-isolate for 14 full days.
medical,home_isolation,medical|home_isolation|914cbe08577c,ocr_txt_bundle::home_isolation,fj,en,fj->en,E dodonu mo vakatikitikitaki mai na siga e vakilai kina na tauvimate vei koya e liu ena nomu matavuvale.,You need to self-isolate from the day the first person in your household started symptoms.
medical,home_isolation,medical|home_isolation|70b28f55254a,ocr_txt_bundle::home_isolation,fj,en,fj->en,"Kevaka e sega ni laurai na ivakatakilakila, vakatikitikitaki iko mai na siga e caka kina na veivakatovotovo.","If they have no symptoms, self-isolate from the day of their test."
medical,home_isolation,medical|home_isolation|cc90ea063aea,ocr_txt_bundle::home_isolation,fj,en,fj->en,"Na ibalebale ni vakatikitikitaki e vale: mo tiko ga e vale ka kakua ni lako icakacaka, vuli se na vanua era sota kina vakalewelevu na lewenivanua.","Self-isolate means stay home and do not go to work, school, or public areas."
medical,medical_misc,medical|medical_misc|e678c5f1f760,ocr_txt_bundle::medical_misc,fj,en,fj->en,Kakua ni vakayagataka na tolili ni lewenivanua se na taxi.,Do not use public transport or taxis.
medical,medical_misc,medical|medical_misc|7b747939edc5,ocr_txt_bundle::medical_misc,fj,en,fj->en,"Kevaka o vakila na taqa ni icegu, qarai vakatotolo na veivuke vakavuniwai.","If you experience difficulty breathing, seek immediate medical attention."
medical,medical_misc,medical|medical_misc|96ac7aceac06,ocr_txt_bundle::medical_misc,fj,en,fj->en,Na mosi ni sarisari e sega ni cegu rawa e dua na ivakatakilakila bibi.,Persistent chest pain is a warning sign.
medical,medical_misc,medical|medical_misc|29588df2f74b,ocr_txt_bundle::medical_misc,fj,en,fj->en,Na veilecayaki ni vakasama se dredre me yadra vakabalavu e gadreva na veivuke vakatotolo.,New confusion or inability to stay awake requires urgent care.
medical,screening_clinic,medical|screening_clinic|23ef6384338a,ocr_txt_bundle::screening_clinic,fj,en,fj->en,O ira na sivia na 50 na yabaki se tauvi mate vakadua me ra gole ki na screening clinic.,Anyone over 50 or with chronic illness should visit a screening clinic.
medical,dementia_support,medical|dementia_support|d53bfa7b80f9,ocr_txt_bundle::dementia_support,fj,en,fj->en,Dementia e vakamacalataka na ivakatakilakila ena veisau e yaco ena ivakarau ni cakacaka ni mona.,Dementia describes symptoms caused by changes in how the brain works.
medical,dementia_support,medical|dementia_support|baad75a7ad2f,ocr_txt_bundle::dementia_support,fj,en,fj->en,Na mate na Alzheimers e mataqali dementia e dau kunei vakalevu.,Alzheimer's disease is the most common type of dementia.
medical,dementia_support,medical|dementia_support|22aff4534fb5,ocr_txt_bundle::dementia_support,fj,en,fj->en,"E rawa ni dua ga e tauvi dementia, ia e tubu na kena loloma ni sa qase na tamata.","Anyone can get dementia, but the chance increases with age."
medical,dementia_support,medical|dementia_support|d879cf88cba7,ocr_txt_bundle::dementia_support,fj,en,fj->en,E dau dredre me kilai na ivakatakilakila taumada ni dementia.,Early signs of dementia can be difficult to notice.
medical,dementia_support,medical|dementia_support|fe20f30c0f12,ocr_txt_bundle::dementia_support,fj,en,fj->en,E levu na mate e rawa ni qaravi ka vakavuna na ivakatakilakila e vaka na dementia.,Many treatable illnesses can cause dementia-like symptoms.
medical,medical_misc,medical|medical_misc|f5b2ba2ce6f7,ocr_txt_bundle::medical_misc,fj,en,fj->en,Raica vakatotolo na nomu vuniwai kevaka o lomaleqataka.,See your doctor if you are worried.
