domain,subdomain,source_id,source_doc,source_lang,target_lang,direction,source_text,target_text
legal,constitution,constitution|preamble,constitution - eng.txt,en,fj,en->fj,"we, the people of fiji, recognising the indigenous people or the itaukei, their ownership of itaukei lands, their unique culture, customs, traditions and language; recognising the indigenous people or the rotuman from the island of rotuma, their ownership of rotuman lands, their unique culture, customs, traditions and language; recognising the descendants of the indentured labourers from british india and the pacific islands, their culture, customs, traditions and language; and recognising the descendants of the settlers and immigrants to fiji, their culture, customs, traditions and language, declare that we are all fijians united by common and equal citizenry; recognise the constitution as the supreme law of our country that provides the framework for the conduct of government and all fijians; commit ourselves to the recognition and protection of human rights, and respect for human dignity; declare our commitment to justice, national sovereignty and security, social and economic wellbeing, and safeguarding our environment, hereby establish this constitution for the republic of fiji. ----------------------- page ----------------------- the republic of fiji","o keimami na lewei viti, rokova na itaukei ni vanua se kawa itaukei, na nodra taukena na kedra qele, na nodra itovo, ivakarau kei na vosa; rokova na itaukei ni vanua o rotuma, mai na yanuyanu o rotuma, na nodra taukena na kedra qele, nodra itovo, ivakarau kei na vosa; rokova na kawatamata era mai cakacaka mai idia ni se qali tu vakaperetania, kei na pasifika, na nodra itovo, ivakarau kei na vosa; ka rokova na kawatamata era mai tiko e viti, na nodra itovo, ivakarau kei na vosa; tusanaka nida sa kai viti eda sa dua bau na umatamata; rokova na yavunivakavulewa ni lawa cecere duadua ni noda vanua ka vakarautaka na ituvatuva ni kena qaravi na matanitu kei ira na lewei viti; cuqena na rokovi kei na taqomaki ni dodonu ni lewenivanua kei na dokai ni itovo ni lewenivanua; tusanaka na noda maroroya na lawa, galala vakamatanitu kei na veitaqomaki, bula raraba kei na bula vakailavo, kei na taqomaki ni veikabula; ka vakadeitaka na yavunivakavulewa qo me baleta na vanua o viti. ----------------------- page ----------------------- na matanitu tugalala o viti"
legal,constitution,constitution|1,constitution - eng.txt,en,fj,en->fj,the republic of fiji is a sovereign democratic state founded on the values of—,"na matanitu tugalala o viti e matanitu tuvakaikoya, yavutaki ena—"
legal,constitution,constitution|1(2),constitution - eng.txt,en,fj,en->fj,"this chapter does not deny, or prevent the recognition of, any other right or freedom recognised or conferred by common law or written law, except to the extent that it is inconsistent with this chapter.","na wase qo e sega ni cakitaka se tarova na kena kilai na dodonu se galala e umani ena lawa raraba se lawa tabaki, vakavo ke sega ni duavata kei na lawa ena wase qo."
legal,constitution,constitution|1(2)(a),constitution - eng.txt,en,fj,en->fj,"entitled to all the rights, privileges and benefits of citizenship; and","ena nodra taqomaki ena dodonu ni tamata yadua, vakayagataka na galala ni lewenivanua e viti; ka"
legal,constitution,constitution|1(2)(b),constitution - eng.txt,en,fj,en->fj,subject to the duties and responsibilities of citizenship.,yavutaki ena itavi vakalewenivanua.
legal,constitution,constitution|1(3),constitution - eng.txt,en,fj,en->fj,"a law that limits a right or freedom set out in this chapter is not invalid solely because the law exceeds the limits imposed by this chapter if the law is reasonably capable of a more restricted interpretation that does not exceed those limits, and in that case, the law must be construed in accordance with the more restricted interpretation.","e dua na lawa e yalana na dodonu kei na galala e vakamacalataki ena wase qo, e sega ni kena ibalebale ni sega na kena kaukauwa ni sa veicalati kei na iyalayala e dusimaka na wase qo, kevaka e rawa ni vakaukauwataki na yalani ni kena vakamacalataki, me kua kina ni sivia na iyalayala e dusimaka na wase qo. ena tikina oya, e dodonu me vakaukauwataki na yalani ni kena ivakamacala."
legal,constitution,constitution|1(3)(a),constitution - eng.txt,en,fj,en->fj,the nature of the right or freedom recognised in that provision; and,na dodonu se galala e virikotori ena tiki ni wase qo; kei na
legal,constitution,constitution|1(3)(b),constitution - eng.txt,en,fj,en->fj,the nature of any restraint or duty imposed by that provision.,vakatatabu se itavi e virikotori ena tiki ni wase qo.
legal,constitution,constitution|1(3)(c),constitution - eng.txt,en,fj,en->fj,"the state and all persons holding public office must not prefer or advance, by any means, any particular religion, religious denomination, religious belief, or religious practice over another, or over any non-religious belief; and","na matanitu kei ira na kena vakailesilesi ni valenivolavola ni lewenivanua mera kua ni totaka e dua na matalotu, isoqosoqo lotu, se mata vakabauta, oka tale ga kina na vakabauta sega ni yavutaki vakalotu; ka"
legal,constitution,constitution|1(3)(d),constitution - eng.txt,en,fj,en->fj,no person shall assert any religious belief as a legal reason to disregard this citizenship .—() all citizens of fiji shall be known as fijians.,me kua ni dua na tamata me vakayagataka na nona vakabauta vakalotu me vakacala vakalawa na yavunivakavulewa qo se dua tale na lawa tabaki. ----------------------- page ----------------------- lewenivanua .—() na lewenivanua taucoko e viti era vakatokai mera kai viti.
legal,constitution,constitution|1(4),constitution - eng.txt,en,fj,en->fj,"when deciding any matter according to common law, a court must apply and, where necessary, develop common law in a manner that respects the rights and freedoms recognised in this chapter.","ena gauna e vakatulewataki kina e dua na lawa raraba, na mataveilewai e dodonu me vakayagataka se, kevaka e gadrevi, me bulia na lawa raraba ena ivakarau e doka na dodonu kei na galala me vaka e virikotori ena wase qo."
legal,constitution,constitution|1(4)(a),constitution - eng.txt,en,fj,en->fj,"upon accepting the citizenship of a foreign country, a person remains a citizen of fiji unless he or she renounces that status;","ena rawa mo lewenivanua tudei e vanuatani, o se oka tiko ga mo lewenivanua e viti, vakavo sara ke o kerea me boko na nomu lewenivanua e viti;"
legal,constitution,constitution|1(4)(b),constitution - eng.txt,en,fj,en->fj,"a former citizen of fiji, who lost that citizenship upon acquiring foreign citizenship, may regain citizenship of fiji, while retaining that foreign citizenship unless the laws of that foreign country provide otherwise; and","ke dua a lewenivanua tu e viti qai sa bokoci ni kerea me lai lewenivanua e vanuatani, ena rawa ni volai tale me lewenivanua e viti, ka maroroya tiko na nona lewenivanua e vanuatani vakavo ke sega ni vakadonuya na lawa ni vanua ya; kei na"
legal,constitution,constitution|1(4)(c),constitution - eng.txt,en,fj,en->fj,"upon becoming a citizen of fiji, a foreign person may retain his or her existing citizenship unless the laws of that foreign country provide otherwise.","dua e sa mai lewenivanua e viti, ena rawa vua me taukena tiko ga na nona lewenivanua ena vanua taumada vakavo ke sega ni vakadonuya na lawa ni vanua ya."
legal,constitution,constitution|1(5),constitution - eng.txt,en,fj,en->fj,"in considering the application of this chapter to any particular law, a court must interpret this chapter contextually, having regard to the content and consequences of the law, including its impact upon individuals or groups of individuals. right to life","na kena vakasamataki me vakayagataki na wase qo ena dua tale na lawa, e dodonu vua na mataveilewai me vakamacalataka na wase qo me veiganiti kei na lawa qo, okati kina na kena revurevu vua na tamata yadua se ilawalawa. dodonu ni bula"
legal,constitution,constitution|1(5)(a),constitution - eng.txt,en,fj,en->fj,"limitations expressly prescribed, authorised or permitted (whether by or under a written law) in relation to a particular right or freedom in this",so na vanua vakarautaki se vakadonui (veitalia ke virikotori ena lawa tabaki se sega) ena tiki ni dodonu se galala ena wase qo;
legal,constitution,constitution|1(5)(b),constitution - eng.txt,en,fj,en->fj,"limitations prescribed or set out in, or authorised or permitted by, other provisions of this constitution; or",so na vanua vakarautaki se vakadonui ena dua na tikina vakarautaki ena
