domain,subdomain,direction,rows
bible,genesis,en->fj,1532
bible,genesis,fj->en,1532
conversational,years_1_3,en->fj,2
conversational,years_1_3,fj->en,2
conversational,years_4_5,en->fj,27
conversational,years_4_5,fj->en,27
conversational,years_9_10,en->fj,104
conversational,years_9_10,fj->en,103
definition,definition,en->fj,863
definition,definition,fj->en,863
dictionary,dictionary_parallel_fj2en,fj->en,8959
idiom,idiom_literal,fj->en,126
legal,constitution,en->fj,732
legal,constitution,fj->en,732
medical,anxiety,fj->en,8
medical,covid_general,en->fj,28
medical,covid_general,fj->en,28
medical,dementia_support,en->fj,21
medical,dementia_support,fj->en,21
medical,depression,fj->en,6
medical,home_isolation,en->fj,4
medical,home_isolation,fj->en,4
medical,medical_misc,en->fj,67
medical,medical_misc,fj->en,99
medical,screening_clinic,en->fj,11
medical,screening_clinic,fj->en,11
