domain,subdomain,source_id,source_doc,source_lang,target_lang,direction,source_text,target_text
medical,home_isolation,medical|home_isolation|c9398eb2e482,ocr_txt_bundle::home_isolation,en,fj,en->fj,Self-isolate for 14 full days.,Vakatikitikitaki e vale me 14 na siga.
medical,home_isolation,medical|home_isolation|914cbe08577c,ocr_txt_bundle::home_isolation,en,fj,en->fj,You need to self-isolate from the day the first person in your household started symptoms.,E dodonu mo vakatikitikitaki mai na siga e vakilai kina na tauvimate vei koya e liu ena nomu matavuvale.
medical,home_isolation,medical|home_isolation|70b28f55254a,ocr_txt_bundle::home_isolation,en,fj,en->fj,"If they have no symptoms, self-isolate from the day of their test.","Kevaka e sega ni laurai na ivakatakilakila, vakatikitikitaki iko mai na siga e caka kina na veivakatovotovo."
medical,home_isolation,medical|home_isolation|cc90ea063aea,ocr_txt_bundle::home_isolation,en,fj,en->fj,"Self-isolate means stay home and do not go to work, school, or public areas.","Na ibalebale ni vakatikitikitaki e vale: mo tiko ga e vale ka kakua ni lako icakacaka, vuli se na vanua era sota kina vakalewelevu na lewenivanua."
medical,medical_misc,medical|medical_misc|e678c5f1f760,ocr_txt_bundle::medical_misc,en,fj,en->fj,Do not use public transport or taxis.,Kakua ni vakayagataka na tolili ni lewenivanua se na taxi.
medical,medical_misc,medical|medical_misc|7b747939edc5,ocr_txt_bundle::medical_misc,en,fj,en->fj,"If you experience difficulty breathing, seek immediate medical attention.","Kevaka o vakila na taqa ni icegu, qarai vakatotolo na veivuke vakavuniwai."
medical,medical_misc,medical|medical_misc|96ac7aceac06,ocr_txt_bundle::medical_misc,en,fj,en->fj,Persistent chest pain is a warning sign.,Na mosi ni sarisari e sega ni cegu rawa e dua na ivakatakilakila bibi.
medical,medical_misc,medical|medical_misc|29588df2f74b,ocr_txt_bundle::medical_misc,en,fj,en->fj,New confusion or inability to stay awake requires urgent care.,Na veilecayaki ni vakasama se dredre me yadra vakabalavu e gadreva na veivuke vakatotolo.
medical,screening_clinic,medical|screening_clinic|23ef6384338a,ocr_txt_bundle::screening_clinic,en,fj,en->fj,Anyone over 50 or with chronic illness should visit a screening clinic.,O ira na sivia na 50 na yabaki se tauvi mate vakadua me ra gole ki na screening clinic.
medical,dementia_support,medical|dementia_support|d53bfa7b80f9,ocr_txt_bundle::dementia_support,en,fj,en->fj,Dementia describes symptoms caused by changes in how the brain works.,Dementia e vakamacalataka na ivakatakilakila ena veisau e yaco ena ivakarau ni cakacaka ni mona.
medical,dementia_support,medical|dementia_support|baad75a7ad2f,ocr_txt_bundle::dementia_support,en,fj,en->fj,Alzheimer's disease is the most common type of dementia.,Na mate na Alzheimers e mataqali dementia e dau kunei vakalevu.
medical,dementia_support,medical|dementia_support|22aff4534fb5,ocr_txt_bundle::dementia_support,en,fj,en->fj,"Anyone can get dementia, but the chance increases with age.","E rawa ni dua ga e tauvi dementia, ia e tubu na kena loloma ni sa qase na tamata."
medical,dementia_support,medical|dementia_support|d879cf88cba7,ocr_txt_bundle::dementia_support,en,fj,en->fj,Early signs of dementia can be difficult to notice.,E dau dredre me kilai na ivakatakilakila taumada ni dementia.
medical,dementia_support,medical|dementia_support|fe20f30c0f12,ocr_txt_bundle::dementia_support,en,fj,en->fj,Many treatable illnesses can cause dementia-like symptoms.,E levu na mate e rawa ni qaravi ka vakavuna na ivakatakilakila e vaka na dementia.
medical,medical_misc,medical|medical_misc|f5b2ba2ce6f7,ocr_txt_bundle::medical_misc,en,fj,en->fj,See your doctor if you are worried.,Raica vakatotolo na nomu vuniwai kevaka o lomaleqataka.
medical,medical_misc,medical|medical_misc|3b2739f6fdeb,ocr_txt_bundle::medical_misc,en,fj,en->fj,Recent memory loss that affects daily life.,Na guiguileca vou e vakaleqa na bula wasoma.
medical,medical_misc,medical|medical_misc|00298bd9cc4f,ocr_txt_bundle::medical_misc,en,fj,en->fj,Difficulty performing familiar tasks.,Na dredre ni cakava na itavi e kilai tu vakawasoma.
medical,medical_misc,medical|medical_misc|9cca822f2710,ocr_txt_bundle::medical_misc,en,fj,en->fj,Problems with language.,Na leqa ena vosa.
medical,medical_misc,medical|medical_misc|932e1a5252dc,ocr_txt_bundle::medical_misc,en,fj,en->fj,Poor judgment or decision-making.,Na lutusobu ni vakatulewa se vakasama cala.
medical,dementia_support,medical|dementia_support|41da5eb908da,ocr_txt_bundle::dementia_support,en,fj,en->fj,Vascular dementia is caused by poor blood supply to the brain.,Na vascular dementia e vakavuna na sega ni veirauti vinaka na dra e drodro ki na mona.
