,,adequacy,adequacy,adequacy,adequacy,adequacy,fluency,fluency,fluency,fluency,fluency,cohesion,cohesion,cohesion,cohesion,cohesion
,,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max
translation,system,,,,,,,,,,,,,,,
English to Fijian,GPT-5,3,3.3333333333333335,2.0816659994661326,1,5,3,3.3333333333333335,2.0816659994661326,1,5,3,3.3333333333333335,2.0816659994661326,1,5
English to Fijian,Gemini 1.5 Pro,3,3.3333333333333335,2.0816659994661326,1,5,3,3.3333333333333335,2.0816659994661326,1,5,3,3.3333333333333335,2.0816659994661326,1,5
English to Fijian,Google Translate,3,3.3333333333333335,2.0816659994661326,1,5,3,3.3333333333333335,2.0816659994661326,1,5,3,3.3333333333333335,2.0816659994661326,1,5
English to Fijian,Microsoft Translator,3,0.6666666666666666,0.5773502691896258,0,1,3,2.3333333333333335,1.5275252316519465,1,4,3,2.3333333333333335,1.5275252316519465,1,4
Fijian to English,GPT-5,3,3.0,1.7320508075688772,1,4,3,3.0,1.7320508075688772,1,4,3,3.0,1.7320508075688772,1,4
Fijian to English,Gemini 1.5 Pro,4,2.75,2.0615528128088303,1,5,4,3.25,1.707825127659933,1,5,4,3.25,1.707825127659933,1,5
Fijian to English,Google Translate,4,2.75,1.4999999999999998,1,4,4,3.0,1.4142135623730951,1,4,4,3.0,1.4142135623730951,1,4
Fijian to English,Microsoft Translator,4,2.5,1.2909944487358056,1,4,4,2.75,1.2583057392117916,1,4,4,2.75,1.2583057392117916,1,4
