domain,error_type,count
bible,CULTURAL,39
bible,LEXICAL,35
bible,PRAGMATIC,85
bible,SYNTACTIC,46
conversational,CULTURAL,57
conversational,LEXICAL,87
conversational,PRAGMATIC,108
conversational,SYNTACTIC,52
definition,CULTURAL,104
definition,LEXICAL,131
definition,PRAGMATIC,134
definition,SYNTACTIC,112
dictionary,CULTURAL,32
dictionary,LEXICAL,54
dictionary,PRAGMATIC,33
dictionary,SYNTACTIC,41
idiom,CULTURAL,36
idiom,LEXICAL,38
idiom,PRAGMATIC,46
idiom,SYNTACTIC,40
legal,CULTURAL,131
legal,LEXICAL,138
legal,PRAGMATIC,268
legal,SYNTACTIC,172
medical,CULTURAL,83
medical,LEXICAL,166
medical,PRAGMATIC,193
medical,SYNTACTIC,83
