domain,direction,source_id,source_text,target_text,semantic_cosine,semantic_flag_low
bible,en->fj,bible|genesis|001|001,in the beginning god created the heaven and the earth.,"na kalou, e nai tekitekivu ni ka kecega, sa vakavuna na veilomalagi kei na vuravura.",0.028725827,True
bible,en->fj,bible|genesis|001|002,"and the earth was without form, and void; and darkness was upon the face of the deep. and the spirit of god moved upon the face of the waters.","na vuravura sa sega ni vakavotukana tu, qai lala talega; na kena butobuto sa titobu sara. na yalo ni kalou sa vakaraica sobu tu mai na dela ni wai.",0.27092105,True
bible,en->fj,bible|genesis|001|003,"and god said, let there be light: and there was light.","na kalou sa tukuna, ""me sa rarama mai, "" sa qai dua sara na rarama.",0.27333444,True
bible,en->fj,bible|genesis|001|004,"and god saw the light, that it was good: and god divided the light from the darkness.","na kalou sa raica na rarama, ka sa vinaka. na kalou sa wasea na rarama mai na butobuto.",0.19127592,True
bible,en->fj,bible|genesis|001|005,"and god called the light day, and the darkness he called night. and the evening and the morning were the first day.","na kalou sa tukuna, na rarama me siga, kei na butobuto me bogi. na karobo ni yakavi ki na kida ni mataka, sai matai ni siga.",0.32754788,True
bible,en->fj,bible|genesis|001|006,"and god said, let there be a firmament in the midst of the waters, and let it divide the waters from the waters.","na kalou sa tukuna, ""me dua mada na kabukabu, me wasea na veiwai mai na veiwai. """,0.31559333,True
bible,en->fj,bible|genesis|001|007,"and god made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.","na kalou sa qai cakava na kabukabu, ka sa wasea na wai sa tiko ena ruku ni kabukabu kei na wai ena dela ni kabukabu, sa yaco me vakakina.",0.15834117,True
bible,en->fj,bible|genesis|001|008,and god called the firmament heaven. and the evening and the morning were the second day.,"na kalou sa vakayacana na kabukabu ni maliwa lala, na lomalagi, sa karobo na yakavi ka sa mataka tale, sai karua ni siga.",0.20561609,True
bible,en->fj,bible|genesis|001|009,"and god said, let the waters under the heaven be gathered together unto one place, and let the dry land appear: and it was so.","na kalou sa tukuna, ""na wai kece ena ruku i lomalagi, me vakasoqoni kece ena dua na vanua, ka me basika mai na vanua mamaca; "" sa yaco me vakakina.",0.31200564,True
bible,en->fj,bible|genesis|001|010,and god called the dry land earth; and the gathering together of the waters called he seas: and god saw that it was good.,"na kalou sa vakayacana na vanua mamaca me vuravura, kei na wai sa vakasoqoni vata tu, me, wasawasa. na kalou sa raica oqo ni sa vinaka.",0.21443596,True
bible,en->fj,bible|genesis|001|011,"and god said, let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in itself, upon the earth: and it was so.","na kalou sa qai tukuna, ""na vanua me vakatubura mai na veico, na veisenikau kei na botebotekoro sa vakasorena, na veivunikau sa vakavuana ena kena veimataqali sa tiko e loma na sorena, "" sa yaco me vakakina.",0.27228364,True
bible,en->fj,bible|genesis|001|012,"and the earth brought forth grass, and herb yielding seed after his kind, and the tree yielding fruit, whose seed was in itself, after his kind: and god saw that it was good.","sa tubu mai na veico, na veisenikau, na botebotekoro vakasorena na kena veimataqali, na veivunikau vakavuana sa tiko e loma na sorena ena kena veimataqali. na kalou sa raica ni sa vinaka.",0.15779611,True
bible,en->fj,bible|genesis|001|013,and the evening and the morning were the third day.,"sa karobo, ka sa mataka tale na i katolu ni siga.",0.1436462,True
bible,en->fj,bible|genesis|001|014,"and god said, let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days, and years:","na kalou sa tukuna tale, ""me dua na rarama me tiko mai lomalagi, me wasea na siga mai na bogi, me vakatakilakila ni veiveisau ni veitabadraki kei na veitaba-gauna, vakasiga ka vakayabaki talega;",0.32699257,True
bible,en->fj,bible|genesis|001|015,and let them be for lights in the firmament of the heaven to give light upon the earth: and it was so.,"""me rarama kina na veilomalagi ka me solia mai na rarama e vuravura. "" sa yaco me vakakina.",0.1763111,True
bible,en->fj,bible|genesis|001|016,"and god made two great lights; the greater light to rule the day, and the lesser light to rule the night: he made the stars also.","na kalou sa cakava e rua na rarama levu, na rarama levu me lewa na siga kei na rarama me lewa na bogi. sa bulia talega na veikalokalo.",0.117983356,True
bible,en->fj,bible|genesis|001|017,"and god set them in the firmament of the heaven to give light upon the earth,","na kalou sa vakatikori ira na veirarama oqo ena veiyasana vakalomalagi, me ra solia mai na rarama ki vuravura,",0.15587202,True
bible,en->fj,bible|genesis|001|018,"and to rule over the day and over the night, and to divide the light from the darkness: and god saw that it was good.","ka me ra lewa talega na siga kei na bogi, me ra wasea na rarama mai na butobuto. na kalou, ni sa raica oqo, sa vinaka vua.",0.40031454,False
bible,en->fj,bible|genesis|001|019,and the evening and the morning were the fourth day.,"oqo na karobo ni yakavi kei na mataka, sa i ka va ni siga.",0.018353898,True
bible,en->fj,bible|genesis|001|020,"and god said, let the waters bring forth abundantly the moving creature that hath life, and fowl that may fly above the earth in the open firmament of heaven.","na kalou sa qai tukuna, ""me sa levu mai na wai, ka me levu talega mai na vei manumanu bula, me ra sa vuka mai na manumanu vuka e delai vuravura ka vukaca yani na veiyasana vakalomalagi. """,0.36364344,False
bible,en->fj,bible|genesis|001|021,"and god created great whales, and every living creature that moveth, which the waters brought forth abundantly, after their kind, and every winged fowl after his kind: and god saw that it was good.","na kalou sa qai bulia na veimanumanu levu ni waitui kei na veika bula kecega era sinai tu mai na wailevu ena kena veimataqali, na vei manumanu kece vakatabana ena kena veimataqali. na kalou, ni sa raica oqo sa vinaka vua.",0.21486415,True
bible,en->fj,bible|genesis|001|022,"and god blessed them, saying, be fruitful, and multiply, and fill the waters in the seas, and let fowl multiply in the earth.","na kalou sa qai vosa vakalouvinakataka na veika oqo ka tukuna, ""mo ni yagavakalevu ka vakavuqataki kemuni ka vakatawana na wai ni wasawasa kei na manumanu vuka me levu sara e vuravura. """,0.21514192,True
bible,en->fj,bible|genesis|001|023,and the evening and the morning were the fifth day.,sa qai karobo na yakavi ka mataka tale ni kalima ni siga.,0.121537894,True
bible,en->fj,bible|genesis|001|024,"and god said, let the earth bring forth the living creature after his kind, cattle, and creeping thing, and beast of the earth after his kind: and it was so.","na kalou sa qai tukuna, ""o vuravura me kauta mai na veika bula me vaka na kena veimataqali na manumanu yavai va, na veimanumanu kece sa qasi voli, na veimanumanu kila ni veikau, o ira kece oqo kei na kena veimataqali, "" sa yaco me vakakina.",0.36551327,False
bible,en->fj,bible|genesis|001|025,"and god made the beast of the earth after his kind, and cattle after their kind, and every thing that creepeth upon the earth after his kind: and god saw that it was good.","na kalou sa bulia na veimanumanu ni vuravura me vaka na kena veimataqali, na bulumakau, na veika sa qasi voli, na veimanumanu kila ni vanua, me vaka na kedra dui veimataqali. na kalou ni sa raica oqo, sa vinaka dina.",0.2999582,True
bible,en->fj,bible|genesis|001|026,"and god said, let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth.","na kalou sa tukuna, ""medatou bulia mada na tamata me vakataki kedatou, me rairai vakataki kedatou, me ra lewa na vei ika kecega mai wai, na veimanumanu vuka e macawa kei na manumanu kecega ni vanua kei na veika kecega sa qasi voli e delai vuravura. """,0.45424342,False
bible,en->fj,bible|genesis|001|027,"so god created man in his own image, in the image of god created he him; male and female created he them.","na kalou, sa qai bulia na tamata me vakataki koya ga, e nai rairai ga e va-kalou, na kalou sa bulia kina na tamata, na tagane kei na yalewa sa bulia o koya.",0.21907306,True
bible,en->fj,bible|genesis|001|028,"and god blessed them, and god said unto them, be fruitful, and multiply, and replenish the earth, and subdue it: and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that moveth upon the earth.","na kalou sa vakalouvinakataki rau, ka sa tukuna vei rau, ""mo drau yagavakalevu ka vakalewelevutaki kemudrau, me vakatawai o vuravura ka me vakarorogo vei kemudrau; drau lewa na ika mai wai, na manumanu vuka e macawa, kei na veika kecega sa lako voli e delai vuravura. """,0.38476306,False
bible,en->fj,bible|genesis|001|029,"and god said, behold, i have given you every herb bearing seed, which is upon the face of all the earth, and every tree, in the which is the fruit of a tree yielding seed; to you it shall be for meat.","na kalou sa tukuna, ""raica, au sa solia vei kemudrau na veico kei na veika sa tubu mai ena qele, ka vakasorena tiko kei na vei vunikau vakavuana sa tiko e loma na sorena, oqori me kakana.",0.46319962,False
