domain,subdomain,source_id,source_doc,source_lang,target_lang,direction,source_text,target_text
conversational,years_1_3,conversational|years_1_3|00001,Years 1 - 3_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj,i,au
conversational,years_1_3,conversational|years_1_3|00004,Years 1 - 3_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj,sharing & working together,veiwasei kei na cakacaka vata
conversational,years_4_5,conversational|years_4_5|00021,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj,what is your favourite fruit?,: na vuata cava o dau taleitaka?
conversational,years_4_5,conversational|years_4_5|00022,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj, my favourite fruit is watermelon.,: na vuata au dau taleitaka na meleni.
conversational,years_4_5,conversational|years_4_5|00023,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj,what are some of the fruits readily available at your home?,: na vuata cava soti o rawa ni kunea mai vale?
conversational,years_4_5,conversational|years_4_5|00025,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj,the shape of mangoes and pineapples are the same.,erau tautauvata na ibulibuli ni maqo kei na painapiu.
conversational,years_4_5,conversational|years_4_5|00026,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj,malay apple turns red when it is ripe.,e dau damudamu na kavika ni sa dreu.
conversational,years_4_5,conversational|years_4_5|00027,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj,an orange is sweet when it is unripe.,na moli e dau kamikamica ni se vou.
conversational,years_4_5,conversational|years_4_5|00028,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj,the banana/pineapple/orange..... is ripe.,e sa dreu na ....jaina/painapiu/moli.
conversational,years_4_5,conversational|years_4_5|00029,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj,the mango is still unripe.,e se vou na maqo.
conversational,years_4_5,conversational|years_4_5|00030,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj,the fruits are sour when they are unripe.,e dau wiwi na vuata ni ra se vou.
conversational,years_4_5,conversational|years_4_5|00031,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj," we also have toilets, taps and bathrooms at school.","e tiko tale ga na valelailai/valepo, paipo kei na valenisili e koronivuli."
conversational,years_4_5,conversational|years_4_5|00032,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj, i have a long sleeve shirt and long pants.,e dua tiko na noqu sote ligabalavu kei na tarausese balavu.
conversational,years_4_5,conversational|years_4_5|00033,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj, i usually wear long sleeve shirt and pocket sulu to church.,au dau vakasote ligabalavu kei na isulu vakataga i valenilotu.
conversational,years_4_5,conversational|years_4_5|00034,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj,girls wear school dress to school.,e ra dau vakavinivo ni vuli na goneyalewa i koronivuli.
conversational,years_4_5,conversational|years_4_5|00035,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj,boys wear school pants/sulu and shirt to school.,era dau vakatarausese/sulu vakataga kei na sotenivuli na gonetagane i koronivuli.
conversational,years_4_5,conversational|years_4_5|00036,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj,sports uniforms are worn on sports days.,na isuluniqito e dau daramaki ena siga ni qito.
conversational,years_4_5,conversational|years_4_5|00037,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj,warm clothes are worn during cold weather.,e dau daramaki na isulu katakata e na gauna ni batabata.
conversational,years_4_5,conversational|years_4_5|00040,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj,do you have a flower garden at home/school?,e tiko nomudou loganisenikau mai vale/koronivuli?
conversational,years_4_5,conversational|years_4_5|00044,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj,water lily is normally used for prayer during diwali.,e dau vakayagataki vakalevu na otalili ena masu ni diwali.
conversational,years_4_5,conversational|years_4_5|00045,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj,i like red roses.,au dau taleitaka na rosi damu.
conversational,years_4_5,conversational|years_4_5|00055,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj,crabs usually come out in season.,e dau vagauna na nodra basika mai na qari.
conversational,years_4_5,conversational|years_4_5|00056,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj,the crab meat is very tasty.,e kana vinaka na lewe ni qari.
conversational,years_4_5,conversational|years_4_5|00057,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj,many people are usually afraid of lizards.,e levu era dau rerevaka na moko.
conversational,years_4_5,conversational|years_4_5|00058,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj,lizards feed on tiny insects.,edau kani ira na manumanu lalai na moko .
conversational,years_4_5,conversational|years_4_5|00059,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj,an iguana is bigger than the lizard.,e levu cake na vokai mai na moko.
conversational,years_4_5,conversational|years_4_5|00060,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj,it usually lives in the forest.,era bula vakalevu e veikau.
conversational,years_4_5,conversational|years_4_5|00061,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj,rats are a nuisance to many people.,e levu na tamata e ra dau sevaka na kalavo .
