domain,subdomain,source_id,source_doc,source_lang,target_lang,direction,source_text,target_text
definition,definition,definition|000001,definition.xlsx::Sheet1,fj,en,fj->en,a,marker for common nouns
definition,definition,definition|000002,definition.xlsx::Sheet1,fj,en,fj->en,a,past tense
definition,definition,definition|000003,definition.xlsx::Sheet1,fj,en,fj->en,adi,honorific prefix (woman)
definition,definition,definition|000004,definition.xlsx::Sheet1,fj,en,fj->en,ai vola tabu,holy bible
definition,definition,definition|000005,definition.xlsx::Sheet1,fj,en,fj->en,alatala,pastor
definition,definition,definition|000006,definition.xlsx::Sheet1,fj,en,fj->en,aspirini,aspirin
definition,definition,definition|000007,definition.xlsx::Sheet1,fj,en,fj->en,au,"first person singular, ""i"""
definition,definition,definition|000008,definition.xlsx::Sheet1,fj,en,fj->en,au,i
definition,definition,definition|000009,definition.xlsx::Sheet1,fj,en,fj->en,au vinakata,i want
definition,definition,definition|000010,definition.xlsx::Sheet1,fj,en,fj->en,aua,hour
definition,definition,definition|000011,definition.xlsx::Sheet1,fj,en,fj->en,ba,fence
definition,definition,definition|000012,definition.xlsx::Sheet1,fj,en,fj->en,balavu,"long, tall"
definition,definition,definition|000013,definition.xlsx::Sheet1,fj,en,fj->en,balavu,tall
definition,definition,definition|000014,definition.xlsx::Sheet1,fj,en,fj->en,bale bale,i- meaning
definition,definition,definition|000015,definition.xlsx::Sheet1,fj,en,fj->en,"baleta, ni",because
definition,definition,definition|000016,definition.xlsx::Sheet1,fj,en,fj->en,baqe,bank
definition,definition,definition|000017,definition.xlsx::Sheet1,fj,en,fj->en,baravi,coast
definition,definition,definition|000018,definition.xlsx::Sheet1,fj,en,fj->en,baravi,shore
definition,definition,definition|000019,definition.xlsx::Sheet1,fj,en,fj->en,baravi nuku,beach (bathing)
definition,definition,definition|000020,definition.xlsx::Sheet1,fj,en,fj->en,basi,bus
definition,definition,definition|000021,definition.xlsx::Sheet1,fj,en,fj->en,basikeli,bicycle
definition,definition,definition|000022,definition.xlsx::Sheet1,fj,en,fj->en,basu-ka,break open
definition,definition,definition|000023,definition.xlsx::Sheet1,fj,en,fj->en,bata,butter
definition,definition,definition|000024,definition.xlsx::Sheet1,fj,en,fj->en,batabata,"cold, coolness"
definition,definition,definition|000025,definition.xlsx::Sheet1,fj,en,fj->en,bati,"soldier, bodyguard"
definition,definition,definition|000026,definition.xlsx::Sheet1,fj,en,fj->en,bati,tooth
definition,definition,definition|000027,definition.xlsx::Sheet1,fj,en,fj->en,bebe,butterfly
definition,definition,definition|000028,definition.xlsx::Sheet1,fj,en,fj->en,beitaka,blame
definition,definition,definition|000029,definition.xlsx::Sheet1,fj,en,fj->en,beka,perhaps
definition,definition,definition|000030,definition.xlsx::Sheet1,fj,en,fj->en,bele,eatible greens
definition,definition,definition|000031,definition.xlsx::Sheet1,fj,en,fj->en,berabera,slow
definition,definition,definition|000032,definition.xlsx::Sheet1,fj,en,fj->en,bia,beer
definition,definition,definition|000033,definition.xlsx::Sheet1,fj,en,fj->en,biau,wave
definition,definition,definition|000034,definition.xlsx::Sheet1,fj,en,fj->en,bibi,heavy
