domain,subdomain,source_id,book,chapter,verse,source_lang,target_lang,direction,source_text,target_text
bible,genesis,bible|genesis|001|001,genesis,1,1,en,fj,en->fj,in the beginning god created the heaven and the earth.,"na kalou, e nai tekitekivu ni ka kecega, sa vakavuna na veilomalagi kei na vuravura."
bible,genesis,bible|genesis|001|002,genesis,1,2,en,fj,en->fj,"and the earth was without form, and void; and darkness was upon the face of the deep. and the spirit of god moved upon the face of the waters.","na vuravura sa sega ni vakavotukana tu, qai lala talega; na kena butobuto sa titobu sara. na yalo ni kalou sa vakaraica sobu tu mai na dela ni wai."
bible,genesis,bible|genesis|001|003,genesis,1,3,en,fj,en->fj,"and god said, let there be light: and there was light.","na kalou sa tukuna, ""me sa rarama mai, "" sa qai dua sara na rarama."
bible,genesis,bible|genesis|001|004,genesis,1,4,en,fj,en->fj,"and god saw the light, that it was good: and god divided the light from the darkness.","na kalou sa raica na rarama, ka sa vinaka. na kalou sa wasea na rarama mai na butobuto."
bible,genesis,bible|genesis|001|005,genesis,1,5,en,fj,en->fj,"and god called the light day, and the darkness he called night. and the evening and the morning were the first day.","na kalou sa tukuna, na rarama me siga, kei na butobuto me bogi. na karobo ni yakavi ki na kida ni mataka, sai matai ni siga."
bible,genesis,bible|genesis|001|006,genesis,1,6,en,fj,en->fj,"and god said, let there be a firmament in the midst of the waters, and let it divide the waters from the waters.","na kalou sa tukuna, ""me dua mada na kabukabu, me wasea na veiwai mai na veiwai. """
bible,genesis,bible|genesis|001|007,genesis,1,7,en,fj,en->fj,"and god made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.","na kalou sa qai cakava na kabukabu, ka sa wasea na wai sa tiko ena ruku ni kabukabu kei na wai ena dela ni kabukabu, sa yaco me vakakina."
bible,genesis,bible|genesis|001|008,genesis,1,8,en,fj,en->fj,and god called the firmament heaven. and the evening and the morning were the second day.,"na kalou sa vakayacana na kabukabu ni maliwa lala, na lomalagi, sa karobo na yakavi ka sa mataka tale, sai karua ni siga."
bible,genesis,bible|genesis|001|009,genesis,1,9,en,fj,en->fj,"and god said, let the waters under the heaven be gathered together unto one place, and let the dry land appear: and it was so.","na kalou sa tukuna, ""na wai kece ena ruku i lomalagi, me vakasoqoni kece ena dua na vanua, ka me basika mai na vanua mamaca; "" sa yaco me vakakina."
bible,genesis,bible|genesis|001|010,genesis,1,10,en,fj,en->fj,and god called the dry land earth; and the gathering together of the waters called he seas: and god saw that it was good.,"na kalou sa vakayacana na vanua mamaca me vuravura, kei na wai sa vakasoqoni vata tu, me, wasawasa. na kalou sa raica oqo ni sa vinaka."
bible,genesis,bible|genesis|001|011,genesis,1,11,en,fj,en->fj,"and god said, let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in itself, upon the earth: and it was so.","na kalou sa qai tukuna, ""na vanua me vakatubura mai na veico, na veisenikau kei na botebotekoro sa vakasorena, na veivunikau sa vakavuana ena kena veimataqali sa tiko e loma na sorena, "" sa yaco me vakakina."
bible,genesis,bible|genesis|001|012,genesis,1,12,en,fj,en->fj,"and the earth brought forth grass, and herb yielding seed after his kind, and the tree yielding fruit, whose seed was in itself, after his kind: and god saw that it was good.","sa tubu mai na veico, na veisenikau, na botebotekoro vakasorena na kena veimataqali, na veivunikau vakavuana sa tiko e loma na sorena ena kena veimataqali. na kalou sa raica ni sa vinaka."
bible,genesis,bible|genesis|001|013,genesis,1,13,en,fj,en->fj,and the evening and the morning were the third day.,"sa karobo, ka sa mataka tale na i katolu ni siga."
bible,genesis,bible|genesis|001|014,genesis,1,14,en,fj,en->fj,"and god said, let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days, and years:","na kalou sa tukuna tale, ""me dua na rarama me tiko mai lomalagi, me wasea na siga mai na bogi, me vakatakilakila ni veiveisau ni veitabadraki kei na veitaba-gauna, vakasiga ka vakayabaki talega;"
bible,genesis,bible|genesis|001|015,genesis,1,15,en,fj,en->fj,and let them be for lights in the firmament of the heaven to give light upon the earth: and it was so.,"""me rarama kina na veilomalagi ka me solia mai na rarama e vuravura. "" sa yaco me vakakina."
bible,genesis,bible|genesis|001|016,genesis,1,16,en,fj,en->fj,"and god made two great lights; the greater light to rule the day, and the lesser light to rule the night: he made the stars also.","na kalou sa cakava e rua na rarama levu, na rarama levu me lewa na siga kei na rarama me lewa na bogi. sa bulia talega na veikalokalo."
bible,genesis,bible|genesis|001|017,genesis,1,17,en,fj,en->fj,"and god set them in the firmament of the heaven to give light upon the earth,","na kalou sa vakatikori ira na veirarama oqo ena veiyasana vakalomalagi, me ra solia mai na rarama ki vuravura,"
bible,genesis,bible|genesis|001|018,genesis,1,18,en,fj,en->fj,"and to rule over the day and over the night, and to divide the light from the darkness: and god saw that it was good.","ka me ra lewa talega na siga kei na bogi, me ra wasea na rarama mai na butobuto. na kalou, ni sa raica oqo, sa vinaka vua."
bible,genesis,bible|genesis|001|019,genesis,1,19,en,fj,en->fj,and the evening and the morning were the fourth day.,"oqo na karobo ni yakavi kei na mataka, sa i ka va ni siga."
bible,genesis,bible|genesis|001|020,genesis,1,20,en,fj,en->fj,"and god said, let the waters bring forth abundantly the moving creature that hath life, and fowl that may fly above the earth in the open firmament of heaven.","na kalou sa qai tukuna, ""me sa levu mai na wai, ka me levu talega mai na vei manumanu bula, me ra sa vuka mai na manumanu vuka e delai vuravura ka vukaca yani na veiyasana vakalomalagi. """
bible,genesis,bible|genesis|001|021,genesis,1,21,en,fj,en->fj,"and god created great whales, and every living creature that moveth, which the waters brought forth abundantly, after their kind, and every winged fowl after his kind: and god saw that it was good.","na kalou sa qai bulia na veimanumanu levu ni waitui kei na veika bula kecega era sinai tu mai na wailevu ena kena veimataqali, na vei manumanu kece vakatabana ena kena veimataqali. na kalou, ni sa raica oqo sa vinaka vua."
bible,genesis,bible|genesis|001|022,genesis,1,22,en,fj,en->fj,"and god blessed them, saying, be fruitful, and multiply, and fill the waters in the seas, and let fowl multiply in the earth.","na kalou sa qai vosa vakalouvinakataka na veika oqo ka tukuna, ""mo ni yagavakalevu ka vakavuqataki kemuni ka vakatawana na wai ni wasawasa kei na manumanu vuka me levu sara e vuravura. """
bible,genesis,bible|genesis|001|023,genesis,1,23,en,fj,en->fj,and the evening and the morning were the fifth day.,sa qai karobo na yakavi ka mataka tale ni kalima ni siga.
