domain,subdomain,source_id,source_doc,source_lang,target_lang,direction,source_text,target_text
conversational,years_1_3,conversational|years_1_3|00001,Years 1 - 3_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,au,i
conversational,years_1_3,conversational|years_1_3|00004,Years 1 - 3_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,veiwasei kei na cakacaka vata,sharing & working together
conversational,years_4_5,conversational|years_4_5|00021,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,na vuata cava o dau taleitaka?,what is your favourite fruit?
conversational,years_4_5,conversational|years_4_5|00022,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,na vuata au dau taleitaka na meleni., my favourite fruit is watermelon.
conversational,years_4_5,conversational|years_4_5|00023,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,na vuata cava soti o rawa ni kunea mai vale?,what are some of the fruits readily available at your home?
conversational,years_4_5,conversational|years_4_5|00025,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,erau tautauvata na ibulibuli ni maqo kei na painapiu.,the shape of mangoes and pineapples are the same.
conversational,years_4_5,conversational|years_4_5|00026,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,e dau damudamu na kavika ni sa dreu.,malay apple turns red when it is ripe.
conversational,years_4_5,conversational|years_4_5|00027,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,na moli e dau kamikamica ni se vou.,an orange is sweet when it is unripe.
conversational,years_4_5,conversational|years_4_5|00028,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,e sa dreu na ....jaina/painapiu/moli.,the banana/pineapple/orange..... is ripe.
conversational,years_4_5,conversational|years_4_5|00029,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,e se vou na maqo.,the mango is still unripe.
conversational,years_4_5,conversational|years_4_5|00030,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,e dau wiwi na vuata ni ra se vou.,the fruits are sour when they are unripe.
conversational,years_4_5,conversational|years_4_5|00031,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,"e tiko tale ga na valelailai/valepo, paipo kei na valenisili e koronivuli."," we also have toilets, taps and bathrooms at school."
conversational,years_4_5,conversational|years_4_5|00032,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,e dua tiko na noqu sote ligabalavu kei na tarausese balavu., i have a long sleeve shirt and long pants.
conversational,years_4_5,conversational|years_4_5|00033,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,au dau vakasote ligabalavu kei na isulu vakataga i valenilotu., i usually wear long sleeve shirt and pocket sulu to church.
conversational,years_4_5,conversational|years_4_5|00034,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,e ra dau vakavinivo ni vuli na goneyalewa i koronivuli.,girls wear school dress to school.
conversational,years_4_5,conversational|years_4_5|00035,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,era dau vakatarausese/sulu vakataga kei na sotenivuli na gonetagane i koronivuli.,boys wear school pants/sulu and shirt to school.
conversational,years_4_5,conversational|years_4_5|00036,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,na isuluniqito e dau daramaki ena siga ni qito.,sports uniforms are worn on sports days.
conversational,years_4_5,conversational|years_4_5|00037,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,e dau daramaki na isulu katakata e na gauna ni batabata.,warm clothes are worn during cold weather.
conversational,years_4_5,conversational|years_4_5|00040,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,e tiko nomudou loganisenikau mai vale/koronivuli?,do you have a flower garden at home/school?
conversational,years_4_5,conversational|years_4_5|00044,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,e dau vakayagataki vakalevu na otalili ena masu ni diwali.,water lily is normally used for prayer during diwali.
conversational,years_4_5,conversational|years_4_5|00045,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,au dau taleitaka na rosi damu.,i like red roses.
conversational,years_4_5,conversational|years_4_5|00055,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,e dau vagauna na nodra basika mai na qari.,crabs usually come out in season.
conversational,years_4_5,conversational|years_4_5|00056,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,e kana vinaka na lewe ni qari.,the crab meat is very tasty.
conversational,years_4_5,conversational|years_4_5|00057,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,e levu era dau rerevaka na moko.,many people are usually afraid of lizards.
conversational,years_4_5,conversational|years_4_5|00058,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,edau kani ira na manumanu lalai na moko .,lizards feed on tiny insects.
conversational,years_4_5,conversational|years_4_5|00059,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,e levu cake na vokai mai na moko.,an iguana is bigger than the lizard.
conversational,years_4_5,conversational|years_4_5|00060,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,era bula vakalevu e veikau.,it usually lives in the forest.
conversational,years_4_5,conversational|years_4_5|00061,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,e levu na tamata e ra dau sevaka na kalavo .,rats are a nuisance to many people.
conversational,years_4_5,conversational|years_4_5|00062,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,era manumanu lalai na qasikalolo.,ants are tiny crawling insects.
conversational,years_9_10,conversational|years_9_10|00001,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,ni bula vinaka.,hello.
conversational,years_9_10,conversational|years_9_10|00002,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,na yacaqu o maciu.,my name is maciu.
conversational,years_9_10,conversational|years_9_10|00003,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,au gonetagane ni taveuni.,i am from taveuni.
conversational,years_9_10,conversational|years_9_10|00004,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,au sa yabaki .,i am years old.
conversational,years_9_10,conversational|years_9_10|00005,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,na yacai tamaqu o luke.,my fathers name is luke.
conversational,years_9_10,conversational|years_9_10|00006,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,na yacai tinaqu o mere.,my mother’s name is mere.
conversational,years_9_10,conversational|years_9_10|00007,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,au vuli tiko e paradise secondary school.,i am schooling at paradise secondary school.
conversational,years_9_10,conversational|years_9_10|00008,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,au yabaki vakavuli.,i am in year .
conversational,years_9_10,conversational|years_9_10|00009,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,na yacai noqu qasenivuli o master john.,my teacher’s name is mr john.
conversational,years_9_10,conversational|years_9_10|00010,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,na noqu lesoni taleitaki na english.,my favourite subject is english.
conversational,years_9_10,conversational|years_9_10|00011,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,na kequ kakana taleitaki na ika vakalolo kei na dalo.,my favourite food is fish lolo and taro.
conversational,years_9_10,conversational|years_9_10|00013,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,na yacaqu o priya.,my name is priya.
conversational,years_9_10,conversational|years_9_10|00015,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,na yacai tamaqu o salesh.,my father’s name is salesh.
conversational,years_9_10,conversational|years_9_10|00016,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,na yacai tinaqu o sunita.,my mother’s name is sunita.
conversational,years_9_10,conversational|years_9_10|00017,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,au vuli tiko e lucky central college.,i am schooling at lucky central college.
conversational,years_9_10,conversational|years_9_10|00019,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,na yacai noqu qasenivuli o mrs atalifo.,my teacher’s name is mrs atalifo.
conversational,years_9_10,conversational|years_9_10|00020,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,na noqu lesoni taleitaki na home economics.,my favourite subject is home economics.
conversational,years_9_10,conversational|years_9_10|00021,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,na kequ kakana taleitaki na roti kei na kari toa.,my favourite food is roti and chicken curry.
conversational,years_9_10,conversational|years_9_10|00022,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,qo o maciu.,this is maciu.
conversational,years_9_10,conversational|years_9_10|00023,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,e gonetagane ni taveuni.,he is from taveuni.
conversational,years_9_10,conversational|years_9_10|00024,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,e noqu itokani.,he is my friend.
conversational,years_9_10,conversational|years_9_10|00025,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,e sa yabaki .,he is years old.
conversational,years_9_10,conversational|years_9_10|00026,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,e vuli tiko e paradise secondary school.,he is schooling at paradise secondary school.
conversational,years_9_10,conversational|years_9_10|00027,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,e tiko e na yabaki vakavuli.,he is in year .
conversational,years_9_10,conversational|years_9_10|00028,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,na yacai nona qasenivuli o mr john.,his teacher’s name is mr john.
conversational,years_9_10,conversational|years_9_10|00029,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,na nona lesoni taleitaki na english.,his favourite subject is english.
conversational,years_9_10,conversational|years_9_10|00030,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,na kena kakana taleitaki na ika vakalolo kei na dalo.,his favourite food is fish lolo and taro.
conversational,years_9_10,conversational|years_9_10|00031,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,qo o fozmeen.,this is fozmeen.
conversational,years_9_10,conversational|years_9_10|00032,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,e goneyalewa ni bua.,she is from bua.
conversational,years_9_10,conversational|years_9_10|00033,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,e sa yabaki .,she is years old.
conversational,years_9_10,conversational|years_9_10|00034,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,e vuli tiko e swiss central college.,she is schooling at swiss central college.
conversational,years_9_10,conversational|years_9_10|00035,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,e tiko e na yabaki vakavuli.,she is in year .
conversational,years_9_10,conversational|years_9_10|00036,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,na yacai nona qasenivuli o mrs atalifo.,her teacher’s name is mrs atalifo.
conversational,years_9_10,conversational|years_9_10|00037,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,na nona lesoni taleitaki na home economics.,her favourite subject is home economics.
conversational,years_9_10,conversational|years_9_10|00038,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,na kena kakana taleitaki na roti kei na kari toa.,her favourite food is roti and chicken curry.
conversational,years_9_10,conversational|years_9_10|00039,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,qo o buqu.,this is my grandmother.
conversational,years_9_10,conversational|years_9_10|00040,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,e tinai tamaqu o koya.,she is my father’s mother.
conversational,years_9_10,conversational|years_9_10|00041,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,e yacana o alice.,her name is alice.
conversational,years_9_10,conversational|years_9_10|00042,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,qo o tukaqu.,this is my grandfather.
conversational,years_9_10,conversational|years_9_10|00043,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,e tamai tinaqu o koya.,he is my mother’s father.
conversational,years_9_10,conversational|years_9_10|00044,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,e yacana o raju.,his name is raju.
conversational,years_9_10,conversational|years_9_10|00056,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,to be when you grow via cakava ni o sa bane mangta hai?,what you would like cakacaka cava o na tum bada hoike konchi
conversational,years_9_10,conversational|years_9_10|00057,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,au rawa ni kerea nomu bilo?,"may i use your cup, please?"
conversational,years_9_10,conversational|years_9_10|00058,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,me kani cava?,what for?
conversational,years_9_10,conversational|years_9_10|00059,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,fj,en,fj->en,au rawa ni kerea nomu isele?,"may i use your knife, please?"
