domain,sentence_type_fine,rows,pct_within_domain
bible,statement,3064,100.0
conversational,statement,227,85.66
conversational,question,33,12.45
conversational,greeting,5,1.89
definition,headword,1587,91.95
definition,example,139,8.05
dictionary,statement,8959,100.0
idiom,idiom_literal,126,100.0
legal,legal_clause,1245,85.04
legal,obligation,136,9.29
legal,right,72,4.92
legal,definition,11,0.75
medical,information,203,65.91
medical,symptom,77,25.0
medical,instruction,15,4.87
medical,warning,5,1.62
medical,prevention,4,1.3
medical,treatment,4,1.3
