domain,sentence_type,direction,source_text,target_text,alignment_method,quality_flags,notes,source_doc
dictionary,lexeme_gloss,fj_to_en,taumada,foreword (to a book).,parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,adi,"lady, as a form of address, usually followed by a first name. adi is sometimes sounded as yadi",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,under,"influence of lau. when followed by a name, adi may be heard abbreviated informally as di, as in di lala for adi lalabalavu, and this short version is not disrespectful. like the man ’s chiefly title ratu, this form of address was limited to the eastern coast of viti levu but has become commonly adopted by chiefly women throughout fiji. the origin may come from the ra word yadi (also used in parts of tailevu), meaning to take, as a chief takes up a woman when he takes her as a wife. but that is idle speculation.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,adi,"senitoa n. hibiscus festival usually held annually in august in suva with parade and floats. a “queen”, adi senitoa, is selected. a great deal of rain usually falls during this week , giving the local",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,expression,"“hibiscus weather”. senitoa hibiscus rosasinensis, malvaceae, the introduced, ornamental hibiscus flower.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,agelo,"(or) yagelo (eng., rom. cath.) n. angel.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,agelosi,"(or) agilosi (eng., prot.) n. angel. idiom: agilosi flattering reference to a beautifully natured girl.",parse_gatty_basic,has_idiom,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,ailadi,(eng.) ireland.,parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,aisi,(eng.) n. ice. aisi boloko ice block.,parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,aisikirimu,"(or) aisikirimi (eng.) n. ice cream, that fij ians usually spell as one word.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,ajibisovi,"(eng. angl. church) n. archbishop. syn.(rom. cath.) aravikavo, arekavikavo.",parse_gatty_basic,has_syn,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,akaude,"(eng.) n. account (bank). ala, alaca (cakau) v. to remove wood from fire, to reduce or extinguish the flame; usually one hears",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,alaca,"na buka or me ala na buka. (buka firewood). the word may be written, less often heard, as yala, yalaca . abbrev. of tala, talaca.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,aliva,". n. millipede; three harmless types, one small and brown, one small and black, one large and black , which leaves a yellow stain when its belly is touched, the yellow fluid irritating to human skin.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,aliva,". (bible) alpha, used in the expression aliva kei na omeka from beginning to the end, lit., from alpha and omega, first and last letters of the greek alphabet.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,alta,"(eng. acronym) n. agricultural landowners and tenants act, which has governed the leasing of native land. “alto” (or) alato (eng.) alto singing voice. syn. (lau) kanokano. “ambar” (hindi) n. white-fleshed turmeric, used fresh for pickles, especially by gujerati indians, or raw",parse_gatty_basic,has_syn,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,aniciuramu,"(eng.) n. anthurium, a genus of plants of south american origin. these attractive durable flowers, usually bright red, are grown commercially by some fij ian women who sell to hotels. very few local people know that this plant is quite toxic. “apei” (rotuma) n. very fine white mat woven by rotumans from pandanus leaf, a principal item used",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,apolo,"(eng.) n. apple (imported from australia, new zealand).",parse_gatty_basic,,,Fijian-English_Dictionary.txt
