domain,direction,source_text,target_text,quality_flags,len_ratio,flag_duplicate,english_score_src,english_score_tgt,fijian_score_src,fijian_score_tgt,num_flags
idiom,fj->en,Voci vaka vudi,"[Literal Translation:Easily peel like a vudi.] [Meaning:A person’s explanation is very clear and easily understood. | Something done very easily, quickly with no effort, such as in removing the skin of plantain fruit, to gush forth with the whole story. Fijian Idioms (listed in alp habetical order) B . baca kuita . Literally translated as “octopus bait.” The expression is usually used when enticing someone. In conversation, someone may ask in jest, “O iko baca cava?” What bait (enticement) are you using? The reply is, “Na baca kuita.” This implies something entici ng that will surely succeed! 2. E sega ni dua na nomu baigani eke . Literally translated as, “It’s none of your eggplant” meaning ‘It’s none of your business.’ 3. Vunibaka ga sa tevoro . Literally translated as “The banyan tree is the devil!” It means that a big person may on first impression look very impressive but beware as he can be dangerous too. 4. mate vakabalabala . Literally translated as “To die like a fern tree.” The idiom indicates that someone died childless, like a fern tree (balabala). The fern that grows abundantly in forests does not have suckers or seeds.(Editor’s Note: It grows through its spores.) 4. Vosa mada o iko, e rovu e liu na batimu. Literally translated as, “Please go ahead and talk, because your teeth sprouted first.” The expression is usually said in jest when two people talk at the same time. One will say, “Please go ahead and speak. You are my elder. Your teeth sprouted first.” 5. Basu bawara. Literally translated as “To break open an unopened flower shoot.” Bawara is the spathe (unopened flower shoot) of the coconut palm. A spathe bursts open as it dries and matures, and reveals its flowers. It means that a person (usually young) wants to brea k free of discipline in the home, village or the workplace. The Flying Fox a fruit and insect eating bat is the inspiration of 4 idioms. 6. (Slang idiom used especially amongst young people) beka ni bogi Literally translated as ‘the night bat” (Slang) A person who is active only at night. 7. lako vakabeka or vuka vakabeka. Literally translated as ”to go like a bat” or “to fly like a bat.” It means that someone takes his own food when going on a journey or that someone finds one’s own food and thus is not dependent on others. (Sometimes it has subtle connotations of someone being westernized!) 8. samusamu beka means that someone stands around idly while others are working. 9. tuvani vaka bati ni beka Literarily translated as “Very neatly arranged like the teeth of a bat. 10. gunu wai ni bele . Literally translated as ”To drink the boiled juice of the hibiscus spinach (bele) (which is unpleasant!).” It means that someone is humiliated and / or being reprimanded. The reef heron (belo) is the subject of 2 idioms: 11. domo ni belo Literally translated as “The cry of a heron.” It means that an individual has had a very light meal, perhaps just a cup of tea for lunch or dinner. 12. Sa suru na belo . Literally translated as “The heron has sneezed.” It means that the allocated work for the day is done. It has been completed. Fijian idioms on bici, the banded rail bird . 13. Ketekete ni bici na lomalagi translated as “It is a fine clear sky with light strips of cloud, like the breast of the bici.” 14. E lauta na bici na kena ikolo . Literally translated as “The bici bird gets hit with the projectile meant for it.” It means that someone gets a just punishment. The punishment fits the crime. Fijian idioms on the ‘coconut’ shell cup . 15. bilo cicila . Literally translated as, “Like a leaky cup.” It means that someone cannot be relied upon. 16. bilo vata (usually said in jest as in Daru sa bilo vata or Kedaru sa bilo vata . Usually said as a joke by a man to a woman “Let’s share the same cup” It implies that they have much in common, and should have an intimate relationship. 17. vakabilo (Literally translated as “S/he has a cup.” It means that someone has occult powers derived from pouring a cup of yaqona (kava) to an evil spirit. Another meaning of vakabilo in a positive sense is someone of chiefly rank who has been installed by having been given the official cup to drink. The individual has been given the ceremonial cup of yaqona ( vagunuvi ) to the chiefly position s/he has been installed in. 18. Dui seva ga na bua ka tea : Translation: You will reap the bua (frangipani) that you planted. Meaning: You will reap what you sow. (Usually said when something bad happens to someone whose evil/negative behavior may have caused it.) 19. Maca na wai ka boko na buka . Literally translated as “There’s no more water and the fire has gone out” It means that the cupboard is bare in the sense that there is no more kava, tobacco, food etc. 20. vakabula ika levu Literally translated as “The big one (fish) got away”. It means that you missed your big chance. The big fish was saved (by escaping). . 21. kana buta Literally translated as “to eat food that is cooked and ready.” This refers to a person who expects to be fed or rewarded as if he had helped substantially in the work activity. 22. Au butuka tu . Literally translated as “I am standing (on) my ground.” This is a defiant response (said in a good natured way) to someone from another place who is acting with presumption. This might be said by a Vitilevu highlander to someone from the smaller islands, a kai-yanuyanu. 23. butu cala Literally translated as “to put one’s foot on slippery ground.” It means that someone makes a gaffe of impropriety in traditional custom, such as speaking out of turn in a formal situation. C 1. kana cagi Literally translated as “to eat wind!” It means that someone has nothing to eat. 2. tamata vakaicaqe Literally translated as “someone capable of kicking!” It implies that a particular individual is an influential person. Implies that one is rich and powerful. 3. caqe veva Literally translated as “to kick paper around” It means “to fool around, doing nothing.” 4. Sulukui na vudi, e dua e cika? Sulukui na vudi refers to ripening stalks of plantain that are cut and covered with leaves on the ground but they do not deceive the kikau birds. e dua e cika? Does someone have conjunctivitis? (That s/he is not able to see that the ripe plantain are concealed with leaves) It means (in conversation) ,”You are trying to hide something from me as if I cannot see clearly. 5. malumalumu vakacikinovu Literally translated as “looks weak like a centipede.” It means that a man may looks harmless but is dangerous like a centipede, 6. cokacoka na vula . Literally translated as “trying to strike the moon (vula) with a spear.” It means that one is too ambitious, striving for the impossible, This idiom often refers to a person desiring a certain romantic match that is impossible. 7. E dua ga na siga ni cola qele . Literally translated as “It is only one day of carrying soil.” Meaning as expressed in a conversation: “Let’s try hard to finish this work; we surely can finish it today.” 8. curu vale Literally translated as “to enter a house or to sneak into a house. Meaning: To abscond with someone else’s spouse. Refers to a man taking another man’s wife or taking in a mistress. 9. tamata curu -suka Literally translated as “person entering in and out” Meaning: An offender who is regularly in and out of prison. D These two idioms use the word “daba”. It refers to mud lobsters and rock lobster crabs having their seasonal egg bearing plump (with considerable meat) around April. . Sa daba o iko! Meaning: “You’re awesome, you’re great!” 2. Sa daba! Meaning: “That’s marvelous” 3. vaka e cavu na dalo matua . Literally translated as ‘like mature taro being pulled out of the ground easily.” It means that something is done easily and quickly. 4. Na dalo e tei ka vakasulina . Literally translated as “Taro is planted and has suckers.” It means that a woman has responsible, caring parents who must be approached traditionally by a suitor seeking her hand in marriage. 5. kena na isamu ni dawa . Literally translated as “S/he has been struck by the projectile used to bring down lychee fruits from the tree.” It means that someone has suffered from someone else’s actions. . 6. Tara na dike ni niu qai kevu . Literally translated as “touched the ‘dike’, the central branch of a bunch of coconuts then fell.” This assumes that someone climbed a coconut tree (to get coconuts) but quit the effort after reaching close to the (dike) goal. It means that someone did not accomplish what he set out to do. 7. vakuli-ni-dilo: Literally translated as ‘like the bark of a dilo tree. (Dilo is a seaside tree used for making wooden drums, furniture, boat keel) It means that a man is very strong, implying that he is not easily hurt and having tough skin. 8. waiwai dilo : Literally translated as “dilo oil.” (The dilo tree has nuts that is used for oil for body massage.) It means “to sweet -talk someone to get what is wanted.” 9. Na nomu dodomo sa vaka e dua na tiaina dreu . Literally translated as “Your love is like a ripe baa.” It means that it is ‘puppy love’. It won’t last. 10. dramica na vusi Literally translated as, “The cat licked it up” It means that some food or item is so relished / desirable that it disappeared quickly, or something has been stolen secretly. 11. Sa dre ko Malolo . Literally translated as, “Malolo is pulling” or “The sun is setting.” (Malolo Island is in the west of Vitilevu Island, off the coast of Nadi). It may mean that something is coming to an end. It can also mean that time is being wasted in idleness. 12. Dromu na vula, dromu vata kei na kena kalokalo . Literally translated as. “The moon sets and its star sets with it.” It means that the death of one individual can quickly bring on the death of a spouse, close relative or associate. 13. Dua mai keri! Literally translated as “Your turn!” (to speak, tell a story, entertain the group). This is said by someone, in a pleasant tone, who has just finished telling a yarn. 14. Dui mate ga ena nona ucu ni vatu . Literally translated as “Each person is ready to die defending his home territory.” It means that there is a close attachment to the land and when cornered, a Fijian will fight to the death. 15. ucu mai duru : Literally translated as “Taking out of the knee” or “Like a nose growing out of the knee. It means that it is fiction, unbelievable, a tall tale. F & G 1. Meca i a fika ga, or Meca qo na fika ga . Literally translated as, “The thing is to think it through” It means that ‘things will be done or solved in due time (by hook or by crook!) 2. sili vaka ga (siliva vaka maina) Literally translated as “to bathe like a duck or a mynah bird” Usually said to a child who takes a quick, superficial bath, not bathing properly. 3. dau gasa yawa Literally translated as “always wanting something that is inaccessible.” This is often said of an individual who stays away from home, feeling more comfortable elsewhere. 4. Daru qai laki sota ki na gasau leka . Literally translated as, “We will meet next at the place where the short reed grows (at Bua, supposedly the jumping -off place to the next world, after death). It means that we are not likely to meet again 5. silima na gau ni dali Literally translated as “to dive for the middle (rather than the end) of a rope fallen in the water.” It means that someone intrudes in a conversation. 6. Mo muria na nomu gaunisala . Literally translated as “You should follow your appropriate path .It means that one is to follow proper protocol, as in the formalities of entering a village, or approaching a chief. K 1. vakaseuta na bure ni kadi Literally translated as “to scratch into an ant’s nest” It means “to stir up trouble.” 2. Sa kala na matanisiga . Literally translated as “The sun is setting.” It means that someone is getting old. 3. matai via kana vuaka . Literally translated as “The carpenter who wants to eat pork” It refers to a person who might pretend to be hard working and skilled but is only interested in how the work is rewarded. 4. Sa kua la na kana! Literally translated as “I do not feel like eating.” It implies playful flattering words said to a pretty girl. It implies that she is so pretty that an admirer looking at her has filled his stomach up that he does not feel like eating. . Kana, kana! Ka o lakova mai . Literally translated as “Eat, eat! That’s what you came for.” Usually said when teasing a friend who is passing by during a meal and is invited to join in.]",has_digits|length_ratio_high,888.1428571428571,False,0.0,0.31456043956043955,0.0,0.03205128205128205,2
dictionary,fj->en,niu,"n. mature coconut, copra (at any stage of preparation). originally there were no coconuts in the highlands, none in the diet of the highlanders. today there are few there. vu ni niu coconut palm. there are many var. of coconut and several stages of development : • fij i tall, classic traditional plantation nut. • malayan dwarf, short, low yielding, intro. in s. • hybrid, supposed to yield in years instead of seven. • niu magimagi, long thin nut, used for sinnet, not food because of shape. • niu ni rotuma, tall, few large nuts. • niu ni toga , very large, light brown nut. • niu yabia very tall, drooping leaves, clustered leaflets. • bu drau or bulu drau, tall with tiny nuts (yet rich and full). • niu damu, large orange nuts, legendary tall var. obtained from burotu, the spirit-island associated with matuku island. • sula, nut too young to be drinkable. • bu sosou young nut, gelatinous flesh starting to form, still very thin, but water drinkable. • bu dina perfect nut for drinking, flesh can be scooped out easily. • drokai flesh can be scooped out with thumb. • kade nut with good edible white flesh to be scooped out with a knife or perhaps a spoon but the water may have a slightly gassy or musty taste. • niu madu very mature firm white flesh with little water, ideal for copra. the water is somewhat laxative. the nut falls when mature. • mataloa nut at mature stage when the three eyes have become hardened and dark in colour. the vara will begin to form inside, replacing the firm white flesh. • niu vara coconut starting to sprout. niu buta copra. iqali niu bunch of niu tied together by a",too_short_or_empty|length_ratio_high,536.6666666666666,False,0.0,0.20652173913043478,0.0,0.010869565217391304,2
dictionary,fj->en,dui,"particle implying separateness, difference, various, each one, both, individually. era dui dro. they all ran off in different direction. dui tamata yadua e kila na nona itavi. each person knows what he has to do. dui yalona tu na tamata. people have their own different way of thinking. ko viti e dui tu ga na kena turaga. fij i has various chieftains (not only one). seru, op eti, semesa kei na dui watidratou. seru, opeti, semesa and their respective wives. duikaikai people of various different origins (british, chinese, fijian, indian for example). duiroka variously coloured, variegated. dui yaloyalo of a different mind, with different feelings, said of people. idiom: dui tu tu each one located in a separate place. idiom: dui tau tau of individual things, fallen in several disparate places (fruit from a tree, parts of a car from a crash). idiom: dui mate ga ena nona ucu ni vatu. the implication is that each person is ready to die defending his home territory. in fact, practically no fijian tribe has ever lived for any great length of time in any one place. on the basis of ratu sukuna’s research, virtually no tribe continued living in the place (yavutu) where it was formed. nonetheless, a close attachment to the land is quickly formed. here the notion is that when cornered, a fij ian will fight to the death.",too_short_or_empty|length_ratio_high,442.3333333333333,False,0.0,0.2217391304347826,0.0,0.043478260869565216,2
dictionary,fj->en,e,". particle that may appear in front of some words indicating time: edaidai today. vaka-edaidai current, modern, of these times; e naica ? when? ena bogi at night. ena gauna ni ivalu in time of war. ena noa yesterday. ena mataka ni mataka tomorrow morning. ena mataka tomorrow. again, an official grammarian insists on joining the e with the na. actual custom varies greatly.",too_short_or_empty|length_ratio_high,374.0,False,0.0,0.19047619047619047,1.0,0.07936507936507936,2
dictionary,fj->en,na,"icobocobo n. jumping-off place after death, to move to the next world, a location on the coast of bua province. there are a few different jumping-off places in fiji, one of kadavu island, for example. co, cova v. to swoop down, plunging, of a predatious bird, to catch its food at the ground (rat, chicken, lizard) or water (small fish), or pounce as a cat might do in catching a mouse. cocova! go for it ! coba! exclamation when a target is hit. coba, cobara, cobaraka v. to stick a sharp obj ect into something, where it will stay, nail in wood, a stake or fence-post in the ground, do up buttons on shirt. vakacobara na ivako to nail, hit the nail. ni viri e",too_short_or_empty|length_ratio_high,330.5,False,0.0,0.29133858267716534,1.0,0.023622047244094488,2
dictionary,fj->en,be,"depended upon. also to have a brief love affair that could not become a dependable, lasting relationship. (the branches of breadfruit tree are fragile and breakable). idiom: drau ni uto lutu i wai. useless (usually of a man). idiom. vuki na uto. sudden, unexpected change. when uto is roasted on a fire, it is turned around in a sudden action to avoid burning. cultivars: uto dina, round, dark green fruit, smooth skin, no seeds. balekana, excellent taste, small round fruit. bokasi, early maturing. (gives the name to wainibokasi river.) buco, long fruit, rough skin, excellent eating. koqo, small fruit, rough skin, firm flesh, no seeds.",too_short_or_empty|length_ratio_high,319.5,False,1.0,0.2,0.0,0.01904761904761905,2
dictionary,fj->en,so,"durable. the twigs thrust into the house walls, that are often made of plaited bamboo strips these days. (that flexible bamboo was intro. by europeans.) small makita branches, leaves attached, were used as brooms in the eastern highlands of viti levu where there were no coconut palms to make sasa brooms. fragrant kernel of the nut is grated and used by lowlanders to scent coconut oil for body application, and after adding sour citrus juice, used by highlanders of viti levu when they treat their hair. the fruit is not eaten but was used for making a kind of putty for plugging the seams of boats. syn. (bua, macuata) mala.",too_short_or_empty|length_ratio_high,313.5,False,0.0,0.33636363636363636,0.0,0.0,2
dictionary,fj->en,ro,"muakalou of the wainimala, for example was a famous warrior chief of colo east, ultimately betrayed by his own people. ro, roya v. to fan away flying insects, flies, mosquitos. iroi n. such a fly-whisk. the concept and practice is polynesian and aristocratic. ivakaro, n. advice (from someone with authority), instruction. vakaro, vakarota v. to give instructions, advice (from someone with power, influence). roba, roba (or) robaka, robalaka v. to slap, implying some hurt. iroba n. slap. may refer to the sharp slapping of waves. roba is a harder slapping than expressed by sabi, sabica.",too_short_or_empty|length_ratio_high,294.5,False,0.0,0.2604166666666667,0.0,0.0,2
dictionary,fj->en,as,"poisonous pincers with dangerous sting. they appear seasonally, often around houses or entering houses. cikinovu was one of the names of cakobau. idiom: malumalumu vakacikinovu looks harmless but is dangerous like a centipede, usually said of a man. cila, cilava v, to shine, of sun, moon, stars, to shine on (something). sa cila na siga the sun is shining. e sega ni cilava na nona vakasama. his/her thoughts are not brilliant. e a cilava vinaka na yaqona na siga nikua. the yaqona was shined on nicely by the sun today (to dry it after harvesting and washing).",too_short_or_empty|length_ratio_high,281.0,False,1.0,0.2653061224489796,0.0,0.09183673469387756,2
dictionary,fj->en,ka,"or ka oya. ""what's-his-name "". ka oya can also mean “that one”. kaba, kabata, kabataka . v. climb up. kabata na vunikau climb the tree. kabataka na itukituki climb up with the hammer. may also refer to climbing a hill. idiom: ivakaba ni sau dramatic act to assert a demand for rightful title to some authority, such as chiefly position, lit. a means of climbing to power. idiom: kabawaqa v., n. girls of easy morals who board ships (waqa) in harbour, often accepting money for their services. this is a common insult, equiv. of saqamua fornicator, prostitute.",too_short_or_empty|length_ratio_high,279.5,False,0.0,0.2268041237113402,1.0,0.05154639175257732,2
dictionary,fj->en,cu,"(or) cucu v. to bend over and turn one's buttocks to someone, usually in disrespect or in teasing disrespect. cu! a vulgar cry of contempt. vakacucu to show contempt by stooping, bending over (cuva) and showing one's bottom to someone. this is most often done in jest to mock people related as tauvu, having an historical traditional relationship that permits this. this action is not always contemptuous or humorous; in some cases the word vakacucu or vacucu may apply to bending over, to do something at ground level. syn. solimu, solimu-na.",too_short_or_empty|length_ratio_high,271.5,False,0.0,0.31521739130434784,0.0,0.010869565217391304,2
dictionary,fj->en,i,". alternative, regional pronounciation for the prefix “e” in word combinations helping to indicate direction. i ra, ira or e ra below (or downwind). i cake (or) e cake above (or upwind) . those words sometimes used as a suffix to a place-name, as in anu-ira island.",too_short_or_empty|length_ratio_high,265.0,False,1.0,0.2553191489361702,0.0,0.06382978723404255,2
dictionary,fj->en,da,"n. human excrement but sometimes of animals. syn. (kadavu) meso. boi da small tree spp., geniostom, longaniaceae, greenish white flowers with a foetid smell, around march. see veka. idiom: korokoro da pile of rubbish (often figuratively, sometimes literally), pile of excrement. daba adj . seasonally plump, of mud lobster and rock lobster crabs, usually around april. this is the time of egg-bearing and considerablel meat. idiom: sa daba o iko! you ’re really something, you ’re great ! idiom: sa daba! that ’s swell, great !",too_short_or_empty|length_ratio_high,263.5,False,0.0,0.17857142857142858,0.0,0.0,2
dictionary,fj->en,e,". particle in front of pronouns especially when the pronoun is the subj ect of the sentence, or begins the sentence, as in: e ratou = eratou, e ra = era. properly this e should be attached, not separated, according to the modern rules imposed by cabinet decision.",too_short_or_empty|length_ratio_high,263.0,False,0.0,0.3333333333333333,1.0,0.06666666666666667,2
dictionary,fj->en,doli,". (eng) dolly, doll as a girl ’s toy. may sometimes be applied to a woman who is made up carefully or elaborately . also, an abbrev. of the name dolores. doli . or dolidoli n. bird, wandering tatler, heteroscelus incanus, very common migratory shore wader, breeding in north america, though some stay in fij i round the year. sometimes flies far inland on viti levu. known throughout polynesia. distinct white stripe from above the eye to bill and a dark stripe below that. dolo, dolova, dolovaka v. to wriggle or crawl, writhing on the stomach (baby unable to walk, snake writhing on the ground, soldier crawling forward cautiously on the ground, in combat). gone dolodolo n. baby at the stage of crawling about on its tummy. dolovaka v. to crawl bearing something, as a soldier might crawl carrying his rifle. dolo, doloka v. to snap off, usually of fruit from a plant (corn, sugar-cane, cauliflower, pineapple, duruka), or snap in two (corn, sugar-cane). dolodolo na p ainap iu picking the pineapples. see kidoloka v. to snap off more forcefully.",too_short_or_empty|length_ratio_high,262.25,False,0.0,0.24581005586592178,0.0,0.00558659217877095,2
