domain,system,bleu_mean,bleu_std,bleu_count,chrf_mean,chrf_std,chrf_count,ter_mean,ter_std,ter_count,comet_mean,comet_std,comet_count,fluency_mean,fluency_std,fluency_count,adequacy_mean,adequacy_std,adequacy_count
bible,chatgpt,0.0567462037128161,0.06800767158646856,40,0.29819308761875096,0.09398122145469925,40,0.891203849357281,0.18045414667200127,40,0.5711202427744866,0.10259426148242555,40,3.075,0.9167249398727053,40,2.125,0.9111137169026737,40
bible,gemini,0.22085700972192898,0.21232615052655787,40,0.5121430117942811,0.1629996098335924,40,0.6554849891478196,0.22132979593877392,40,0.663784009963274,0.08326715214769435,40,4.25,0.5883484054145521,40,3.825,0.9026314805852884,40
bible,google,0.36757124323002477,0.2850107752230942,40,0.6235964163041348,0.16862865968913285,40,0.5254163385516218,0.2495632102593788,40,0.7068657979369164,0.07139498512594115,40,4.125,0.6071159226949525,40,3.8,0.9114654303752999,40
bible,microsoft,0.19705041503166038,0.1487673186437652,40,0.5029495779890036,0.11375174636581345,40,0.667502064678318,0.1621244859829028,40,0.6645574904978275,0.08208555069932752,40,3.975,0.47971679679598983,40,3.475,0.7156671622894873,40
conversational,chatgpt,0.07011116012508027,0.08556065233077312,78,0.26178465346561336,0.1554356554994139,78,0.8880642505642506,0.2971693972048842,78,0.5873653724407538,0.13044199634669928,78,2.717948717948718,0.8958408354896548,78,1.6923076923076923,0.7439398856403341,78
conversational,gemini,0.2045610531308428,0.22426827987335635,78,0.543452745140793,0.24283081476359944,78,0.687026862026862,0.4015247864043723,78,0.7501150732621168,0.12189253379791098,78,4.076923076923077,0.8338493241016001,78,3.371794871794872,1.1964121076794278,78
conversational,google,0.1836950366221182,0.20827837204612254,78,0.549657866807646,0.24336531105865464,78,0.6418169793169793,0.34694445461378587,78,0.75368255453232,0.1417960838622947,78,3.923076923076923,0.8338493241016004,78,3.230769230769231,1.183469222497738,78
conversational,microsoft,0.2228427295327451,0.2651712120813443,78,0.5351522622522856,0.2505829685839227,78,0.6195637695637696,0.36277921449953654,78,0.7429839219802465,0.13751949128792085,78,3.858974358974359,1.0157763197680538,78,3.2564102564102564,1.342955622323316,78
definition,chatgpt,0.015852948832138947,0.06943870499805864,80,0.14566459420345762,0.18036314853236035,80,2.2125,1.5733306068059048,80,0.5574005614966154,0.13368193269311554,80,2.5625,1.0168672417487803,80,1.5625,0.9392125708084177,80
definition,gemini,0.08445433006864937,0.10333401303120605,80,0.4490712977261174,0.3955846482537766,80,1.3037974683544304,1.387972217241384,79,0.7131439771833299,0.19924633785305768,79,3.569620253164557,1.1948988188448668,79,2.7848101265822787,1.5825238368679038,79
definition,google,0.06331969232201475,0.09813341708705013,80,0.33510737113459144,0.3383481655532741,80,1.83125,1.7345852647787665,80,0.6460144143551588,0.19122761334241511,80,3.375,1.0951561937037084,80,2.4625,1.3682081972002933,80
definition,microsoft,0.06253969773391001,0.09984702546442811,80,0.3670922156431712,0.3501709475285881,80,1.6833333333333331,1.5086716057726741,80,0.6344148688018322,0.1933618763979002,80,3.175,1.1988918934382276,80,2.3875,1.400666658633522,80
dictionary,chatgpt,9.12424462867664e-13,4.080486246611659e-12,20,0.027262956590544195,0.018393460251188584,20,0.9979166666666666,0.009316949906249065,20,0.33609637022018435,0.059318005308738535,20,1.4,0.5982430416161189,20,1.0,0.0,20
dictionary,gemini,6.825351197732908e-06,3.048887709034375e-05,20,0.0326138780692656,0.03390087353101937,20,0.9945588235294117,0.01680864374248702,20,0.3439579293131828,0.09296264817794175,20,1.7,0.7326950970650464,20,1.2,0.41039134083406165,20
dictionary,google,2.2054357608194843e-05,9.856048225457241e-05,20,0.034022470884581234,0.036488014354238006,20,0.9945833333333333,0.01715831852883151,20,0.3399659737944603,0.07010657821525772,20,1.5,1.0513149660756937,20,1.25,0.7163503994113789,20
dictionary,microsoft,5.992454988845986e-05,0.00026792112417011187,20,0.03460872978237077,0.03191949376810834,20,0.9862500000000001,0.039853074459314276,20,0.3207647785544395,0.07105444779114028,20,1.8,1.105012502906165,20,1.15,0.36634754853252327,20
idiom,chatgpt,0.0014519481959014563,0.003179331912335636,20,0.038465958261329716,0.02440825929603146,20,0.9748180078991933,0.03362880994285144,20,0.3498828947544098,0.0651693606920851,20,1.8,0.7677718959499144,20,1.05,0.22360679774997896,20
idiom,gemini,0.0026726821995868765,0.00840835074972374,20,0.049706672482860134,0.040224878935957414,20,0.9690042053248972,0.03867862871995254,20,0.349831224232912,0.07042583319579988,20,2.5,0.6882472016116853,20,1.35,0.6708203932499369,20
idiom,google,0.0008501671173579084,0.001795205650868519,20,0.04829970426943421,0.04442774262324327,20,0.9695002819233511,0.047243209337069984,20,0.35119707733392713,0.048763410109354914,20,2.0,0.7947194142390263,20,1.2,0.41039134083406165,20
idiom,microsoft,0.0011646563958470086,0.003035353752592696,20,0.05411753441572744,0.04533880998562073,20,0.9743471539884739,0.03326629249272279,20,0.3668293714523315,0.06590178528586077,20,2.15,0.8750939799154205,20,1.3,0.5712405705774795,20
legal,chatgpt,0.045574703712761545,0.05862239247488107,111,0.29536521639910107,0.1111027635600274,111,1.0073794535567253,0.39988427477663396,111,0.5859376103491396,0.08402784159917566,111,2.936936936936937,0.6779552047320382,111,1.972972972972973,0.6668713854390851,111
legal,gemini,0.1277086050397976,0.12625739640998299,111,0.4483364289630978,0.14439787328563952,111,0.8288861731820663,0.3043899925282815,111,0.6706668452636616,0.08263080724298813,111,3.90990990990991,0.6403060283894022,111,3.1531531531531534,0.8862402526526235,111
legal,google,0.14455589969021157,0.130263962928983,111,0.45369546738348027,0.16604929606325755,111,0.764683827417356,0.2943300020515556,111,0.6797387162307361,0.0895640364083896,111,3.682242990654206,0.6080921423650089,107,3.0093457943925235,0.8632466918536651,107
legal,microsoft,0.14188121733408615,0.13014835162281457,111,0.4544145299866517,0.1592266226293092,111,0.7741857079224407,0.28302658625764165,111,0.6629687103333773,0.10575229316844209,111,3.7117117117117115,0.5937153800416092,111,3.054054054054054,0.882535992959935,111
medical,chatgpt,0.054271560078792476,0.07633951884871751,108,0.2699242579540885,0.1322223682562173,108,1.0563519730549744,0.5281237069911942,108,0.5695021697492512,0.1465966960523608,108,2.9722222222222223,0.971157256805242,108,1.9814814814814814,0.9270744002393191,108
medical,gemini,0.1779424947789949,0.17141573588864142,108,0.4819519236041514,0.1762645517384152,108,0.7775986236495351,0.3879603377611281,108,0.676398397181873,0.16369656382943504,108,3.888888888888889,1.016989632578713,108,3.2685185185185186,1.090369751926172,108
medical,google,0.20458951855908147,0.18232813868154002,108,0.5134203906067691,0.18669433603998678,108,0.7024450758426937,0.3549725749167377,108,0.7031007549828954,0.15927091893632925,108,4.0092592592592595,0.9618456787481809,108,3.3518518518518516,1.025969473729397,108
medical,microsoft,0.20877023402611772,0.18928323119159482,108,0.524295150577656,0.18168821471427427,108,0.6772647078138134,0.3624686111546852,108,0.7100316076366989,0.15481642572587376,108,4.101851851851852,0.9165132506378014,108,3.5462962962962963,1.008230236827603,108
