direction,system,metric,n,mean,std
en->fj,chatgpt,bertscore_f1,224,0.04457347577824423,0.22807994242059734
en->fj,gemini,bertscore_f1,223,0.29342838517398545,0.3035913282375573
en->fj,google_translate,bertscore_f1,224,0.283563457872203,0.32819902994206857
en->fj,microsoft_translate,bertscore_f1,224,0.3027143886678719,0.32368331467744177
en->fj,chatgpt,bleu,224,0.04372298594505265,0.0478803639113188
en->fj,gemini,bleu,224,0.1510417900137123,0.14509360215615777
en->fj,google_translate,bleu,224,0.1665016333561626,0.16092667098768232
en->fj,microsoft_translate,bleu,224,0.18946400807627825,0.1965249318445835
en->fj,chatgpt,bleurt,224,0.3829220924526453,0.12759822427098913
en->fj,gemini,bleurt,223,0.5246458575797722,0.1940786778457804
en->fj,google_translate,bleurt,224,0.5214767264135715,0.19753300286876202
en->fj,microsoft_translate,bleurt,224,0.5267183402486678,0.19736430908554237
en->fj,chatgpt,chrf,224,0.2517069480609414,0.1226085923379881
en->fj,gemini,chrf,224,0.5030373009841651,0.22061508602913152
en->fj,google_translate,chrf,224,0.5097106690103305,0.2241408288125711
en->fj,microsoft_translate,chrf,224,0.5255394692581068,0.22060017568472093
en->fj,chatgpt,comet,224,0.5932724948174187,0.09845074982993604
en->fj,gemini,comet,223,0.705786138104751,0.11992910664584366
en->fj,google_translate,comet,224,0.6994799545833043,0.12045891333418811
en->fj,microsoft_translate,comet,224,0.7026114934124053,0.1239285950861085
en->fj,chatgpt,edit_dist,224,64.60714285714286,98.83240850638182
en->fj,gemini,edit_dist,224,53.830357142857146,91.12386370317464
en->fj,google_translate,edit_dist,224,51.089285714285715,84.313482271586
en->fj,microsoft_translate,edit_dist,224,50.92857142857143,88.02590469572921
en->fj,chatgpt,exact_match,224,0.0,0.0
en->fj,gemini,exact_match,224,0.05803571428571429,0.23433462443172842
en->fj,google_translate,exact_match,224,0.03571428571428571,0.1859924984538405
en->fj,microsoft_translate,exact_match,224,0.0625,0.24260359074455695
en->fj,chatgpt,len_ratio,224,1.2998423723491501,0.8974664591272219
en->fj,gemini,len_ratio,224,1.17406194363007,0.6407138162333552
en->fj,google_translate,len_ratio,224,1.3367756785079383,0.9858758338943521
en->fj,microsoft_translate,len_ratio,224,1.2869468924101095,0.8891936861845897
en->fj,chatgpt,llm_adequacy,224,1.9732142857142858,0.6954022151756754
en->fj,gemini,llm_adequacy,223,3.3452914798206277,1.000928749014012
en->fj,google_translate,llm_adequacy,220,3.3227272727272728,0.9267372028188022
en->fj,microsoft_translate,llm_adequacy,224,3.4732142857142856,0.9560740109499039
en->fj,chatgpt,llm_error_tags,0,,
en->fj,gemini,llm_error_tags,0,,
en->fj,google_translate,llm_error_tags,0,,
en->fj,microsoft_translate,llm_error_tags,0,,
en->fj,chatgpt,llm_fluency,224,2.8392857142857144,0.7403013739547616
en->fj,gemini,llm_fluency,223,3.901345291479821,0.7647339418767556
en->fj,google_translate,llm_fluency,220,3.8545454545454545,0.7130404848844614
en->fj,microsoft_translate,llm_fluency,224,3.9107142857142856,0.7219004742226562
en->fj,chatgpt,llm_overall,224,1.9642857142857142,0.6949990667293333
en->fj,gemini,llm_overall,223,3.3228699551569507,0.9971883067145324
en->fj,google_translate,llm_overall,220,3.2954545454545454,0.8959458524526972
en->fj,microsoft_translate,llm_overall,224,3.424107142857143,0.9392054208476697
en->fj,chatgpt,llm_rationale,0,,
en->fj,gemini,llm_rationale,0,,
en->fj,google_translate,llm_rationale,0,,
en->fj,microsoft_translate,llm_rationale,0,,
en->fj,chatgpt,llm_terminology,224,2.1651785714285716,0.7948499953163821
en->fj,gemini,llm_terminology,223,3.632286995515695,1.030716390489117
en->fj,google_translate,llm_terminology,220,3.6,0.9764346662907073
en->fj,microsoft_translate,llm_terminology,224,3.700892857142857,1.0264655309491777
en->fj,chatgpt,meteor,224,0.1912132889512376,0.14668331489820502
en->fj,gemini,meteor,224,0.4043017786044972,0.23220195916261455
en->fj,google_translate,meteor,224,0.4188838504755603,0.2448338249870996
en->fj,microsoft_translate,meteor,224,0.44225372627765724,0.24527961935262974
en->fj,chatgpt,rouge1_f1,224,0.29003848882969746,0.18224281588813798
en->fj,gemini,rouge1_f1,223,0.511248715560268,0.2508401035030807
en->fj,google_translate,rouge1_f1,224,0.516507754018565,0.24395372741552723
en->fj,microsoft_translate,rouge1_f1,224,0.5378626244674093,0.25141873097647693
en->fj,chatgpt,rouge1_p,224,0.29173438421257464,0.19775024873054872
en->fj,gemini,rouge1_p,223,0.5040551349285006,0.2566963541608049
en->fj,google_translate,rouge1_p,224,0.5109670661435394,0.2525507301385593
en->fj,microsoft_translate,rouge1_p,224,0.5371917433299076,0.2636810385436995
en->fj,chatgpt,rouge1_r,224,0.30720652133420895,0.20199269560632954
en->fj,gemini,rouge1_r,223,0.5390709360024944,0.2659564042294501
en->fj,google_translate,rouge1_r,224,0.5461521193897904,0.26386505388337644
en->fj,microsoft_translate,rouge1_r,224,0.5618680919629461,0.2650451317086774
en->fj,chatgpt,rouge2_f1,224,0.06670649997905093,0.0896068079757511
en->fj,gemini,rouge2_f1,223,0.2274860956190006,0.21255524771220424
en->fj,google_translate,rouge2_f1,224,0.25835605334370276,0.2284118005199284
en->fj,microsoft_translate,rouge2_f1,224,0.28107342313115485,0.24458893225396047
en->fj,chatgpt,rouge2_p,224,0.06528122318309568,0.08895758550175771
en->fj,gemini,rouge2_p,223,0.22434594853531117,0.21803836148299044
en->fj,google_translate,rouge2_p,224,0.254293132522462,0.23416063590949374
en->fj,microsoft_translate,rouge2_p,224,0.28221588596602926,0.2533003239904973
en->fj,chatgpt,rouge2_r,224,0.07071186170449704,0.09531054792595367
en->fj,gemini,rouge2_r,223,0.23885957258309282,0.21957530168280914
en->fj,google_translate,rouge2_r,224,0.27149202619224044,0.23723724383927358
en->fj,microsoft_translate,rouge2_r,224,0.2880336916364667,0.2478197650792923
en->fj,chatgpt,rougeL_f1,224,0.2566373288893401,0.16621115255314564
en->fj,gemini,rougeL_f1,223,0.47416317874109826,0.2501326841687042
en->fj,google_translate,rougeL_f1,224,0.4763865935782787,0.24030468058132076
en->fj,microsoft_translate,rougeL_f1,224,0.500222295722499,0.24725346024931494
en->fj,chatgpt,rougeL_p,224,0.2585640284921261,0.18280914149523686
en->fj,gemini,rougeL_p,223,0.4679387177246685,0.2568429036570326
en->fj,google_translate,rougeL_p,224,0.47118477600657255,0.24857984086325086
