domain,direction,sentence_type_fine,source_id,source_doc,source_text,ref,chatgpt,gemini,google_translate,microsoft_translate,notes
bible,en->fj,statement,bible|genesis|018|033,bible_genesis_verse__en2fj.csv,"and the lord went his way, as soon as he had left communing with abraham: and abraham returned unto his place.",sa lako sara yani o jiova ena nona sala ni sa vosa oti vei eparaama “ka sa lesu tale o eparaama ki na nona tikina.,"rau na tu i atu na, ni oti mai na nona vosa kei abraham: ka a lesu o abraham ki na nona vanua.","Ka sa qai lako ko Jiova, ni sa oti na nona veivosaki kei Eparaama, ka sa qai lesu ko Eparaama ki na nona tikina.",,,
bible,en->fj,statement,bible|genesis|047|010,bible_genesis_verse__en2fj.csv,"and jacob blessed pharaoh, and went out from before pharaoh.",sa vakalouvinakataki fero o jekope ka lako tani mai matana.,"kei a dalo o iakobo na parau, a sa rauti ena ivakabalebale ni parau.","Ka vakalougatataka ko Jekope vei Fero, ka curu tani mai na mata i Fero.",,,
bible,en->fj,statement,bible|genesis|032|019,bible_genesis_verse__en2fj.csv,"and so commanded he the second, and the third, and all that followed the droves, saying, on this manner shall ye speak unto esau, when ye find him.","sa vakarota talega nai karua ni lawalawa kei nai katolu ka vaka: ""me vaka talega oqori na veika mo ni tukuna vei iso ni kemuni sa kunei koya;","ka e vakaotia na i vakavuvuli ni katoro, ka na ikeli, ka na veika me rawata na droves, ni tukuna, ena nomu i ke naka e vakabauti Jiova na vatu ni esau, ni o veivakabauti veiba, ni o qarauna na esau.","Ka qai vakarota ko koya ki na kena ikarua, kei na ikatolu, kei ira kece era muri tiko mai na qele, ka kaya, Ena sala oqo dou na vosa kina vei Iso, ni dou sa kunea.",,,
bible,en->fj,statement,bible|genesis|035|026,bible_genesis_verse__en2fj.csv,"and the sons of zilpah, leah's handmaid; gad, and asher: these are the sons of jacob, which were born to him in padanaram.","na luvei sipa tagane, (na dauveiqaravi) nei lia; o kata kei aseri. oqo, o ira na luvei jekope tagane era sa vakasucumi vua e padani-erami.","na, na okada ni zilpah, na yaca ni lea; gad, kei asher: oqo na luvena i jakobu, era sa biau vei ira e padanaram.","Kei na luvedrau tagane i Silipa, na vada i Lia; o Kata, kei Asera: o ira oqo na luvena tagane i Jekope, era sucu vua mai Patana-Arama.",,,
bible,en->fj,statement,bible|genesis|027|037,bible_genesis_verse__en2fj.csv,"and isaac answered and said unto esau, behold, i have made him thy lord, and all his brethren have i given to him for servants; and with corn and wine have i sustained him: and what shall i do now unto thee, my son?","sa sauma mai o aisake ka tukuna vei iso, ""raica, au sa cakava me nomu turaga o koya, o ira kece na tacina, me ra nona i talai, na sila kei na waini me maroroi koya “na cava tale me'u cakava vei iko na luvequ? ""","oi, e na vosa, e tukuna mai vei Esau, raica, au sa vakavuna koya me nona turaga, ka sa ikoya na nona itukuni kece; ka au sa vakaitavi vei koya na koli kei na wainimakau: ka na cava au na cakava oqo vei iko, na luvequ?","A sa vosa ko Aisake vei Iso ka kaya, Raica, au sa lesia koya me nomu turaga, ka'u sa solia na wekana kecega vua me nona tamata; ka'u sa vakani koya ena sila kei na waini: ia na luvequ, a cava beka me'u cakava vei kemuni e na gauna oqo?",,,
bible,en->fj,statement,bible|genesis|014|007,bible_genesis_verse__en2fj.csv,"and they returned, and came to enmishpat, which is kadesh, and smote all the country of the amalekites, and also the amorites, that dwelt in hazezontamar.","era sa vuki lesu tale ka lako mai ki misifata (o ya o kadesi) ka valuti ira kece na amalekaiti kei ira na amoraiti, o ira sa vakaitikotiko e asesoni tamari.","ka ratou lesu tale, ka ratou mai ki enmishpat, e toloti e kadesi, ka ratou vala na veimisini kece mai na amaleaiti, ka kei na amori, era nonoi e hazezontamar.","ka ra lesu mai, ka ra yaco ki Enmishpat, o ya ko Kadesa, ka ra labata na vanua taucoko ni kai Amalek, ka vaka talega kina na kai Amoraiti, era tiko mai Hasesoni-tama.",,,
bible,en->fj,statement,bible|genesis|041|025,bible_genesis_verse__en2fj.csv,"and joseph said unto pharaoh, the dream of pharaoh is one: god hath shewed pharaoh what he is about to do.","sa tukuna o joseva vei fero, ""sa dua ga na tadra nei fero, na kalou sa vakaraitaka vei fero na veika sa vakarau me cakava:","e muri a vao na josefa vei pararoa, na sotia o pararoa e dua: sa vakaraitaka o Jiova vei pararoa na ka ena cakava.","Kei na kaya ko Josefa vei Fero, sa dua ga na tadra nei Fero: sa vakaraitaka na Kalou vei Fero na ka sa vakarau ni cakava.",,,
bible,en->fj,statement,bible|genesis|004|005,bible_genesis_verse__en2fj.csv,"but unto cain and to his offering he had not respect. and cain was very wroth, and his countenance fell.",sa sega ni taleitaki keni kei na nona i soro. sa cudru sara vakalevu o keni ka sa duatani mai na kena i rairai.,"e sa loma o keina e sega ni loloma. a tu kina o keina e toso vakalevu, a segai tale ga na nona i vakai.","Ia vei Keini kei na nona madrali e sega ni ciqoma. Ka sa cudru vakalevu sara ko Keini, ka sa lutu na matana.",,,
bible,en->fj,statement,bible|genesis|026|025,bible_genesis_verse__en2fj.csv,"and he builded an altar there, and called upon the name of the lord, and pitched his tent there: and there isaac's servants digged a well.",sa tara mai kea e dua nai cabocabo ni soro ka kaciva mai kea na yaca i jiova. sa tara talega e kea na nona valelaca; era sa kelia mai kea e dua na mata ni wai na dauveiqaravi nei aisake.,"e na koya e dua na altar e ra, e qoqo na yaca i Jiova, e tiko e ra: e ra na tamata i Iisake era vakarauti e dua na wai.","ka a viria maikea e dua nai cabocabo ni soro, ka a kaciva na yaca i Jiova, ka a viria na nona vale laca maikea: ka maikea na nona tamata i Aisake era a kelia e dua na tobu.",,,
bible,en->fj,statement,bible|genesis|018|011,bible_genesis_verse__en2fj.csv,now abraham and sarah were old and well stricken in age; and it ceased to be with sarah after the manner of women.,o eparaama kei sera e rau sa qase sara ka sa levu na nodrau veiyabaki; sa sivia talega o sera na veiyabaki ni vakasucu gone.,ia sa abraham ka sarah e dua na nodra yabaki gaga ka mudu; ka sa sega ni yaco vei sarah e na ivakarau ni vakatagana.,"Oqo erau sa qase sara ko Eparama kei Sera, ka sa mudu vei Sera na nodra ivakarau na yalewa.",,,
bible,en->fj,statement,bible|genesis|042|003,bible_genesis_verse__en2fj.csv,and joseph's ten brethren went down to buy corn in egypt.,"o iratou na lewe tini na taci joseva, e ratou sa lako sobu i ijipita me voli sila.",e na nona nona o joseph e gole yani ki te iʻa e iukara.,Kei na tinikaiveitacini nei Josaia a lako sobu me volia na sila mai Ijipita.,,,
