domain,system,metric,n,mean,std
bible,chatgpt,bertscore_f1,40,0.2015281404368579,0.1628090949912041
bible,gemini,bertscore_f1,40,0.4170306565705687,0.201041939755603
bible,google_translate,bertscore_f1,40,0.5159417231567204,0.21483321491576077
bible,microsoft_translate,bertscore_f1,40,0.4177039139904082,0.17018482542165977
bible,chatgpt,bleu,40,0.0567462037128161,0.06800767158646856
bible,gemini,bleu,40,0.22085700972192898,0.21232615052655787
bible,google_translate,bleu,40,0.36757124323002477,0.2850107752230942
bible,microsoft_translate,bleu,40,0.19705041503166038,0.1487673186437652
bible,chatgpt,bleurt,40,0.3682154633104801,0.06619785214045239
bible,gemini,bleurt,40,0.4886879600584507,0.11610689865700627
bible,google_translate,bleurt,40,0.529149854183197,0.11916421193511947
bible,microsoft_translate,bleurt,40,0.4665230967104435,0.08911727051957577
bible,chatgpt,chrf,40,0.29819308761875096,0.09398122145469925
bible,gemini,chrf,40,0.5121430117942811,0.1629996098335924
bible,google_translate,chrf,40,0.6235964163041348,0.16862865968913285
bible,microsoft_translate,chrf,40,0.5029495779890036,0.11375174636581345
bible,chatgpt,comet,40,0.5711202427744866,0.10259426148242555
bible,gemini,comet,40,0.663784009963274,0.08326715214769435
bible,google_translate,comet,40,0.7068657979369164,0.07139498512594115
bible,microsoft_translate,comet,40,0.6645574904978275,0.08208555069932752
bible,chatgpt,edit_dist,40,82.75,26.525991124333228
bible,gemini,edit_dist,40,60.05,27.60058527807531
bible,google_translate,edit_dist,40,45.35,27.36603734558586
bible,microsoft_translate,edit_dist,40,60.45,24.921363505521906
bible,chatgpt,exact_match,40,0.0,0.0
bible,gemini,exact_match,40,0.0,0.0
bible,google_translate,exact_match,40,0.05,0.22072142786315224
bible,microsoft_translate,exact_match,40,0.0,0.0
bible,chatgpt,len_ratio,40,0.9963845366583264,0.22190008994555108
bible,gemini,len_ratio,40,0.9766666446641568,0.17582058836225625
bible,google_translate,len_ratio,40,0.9944124903270174,0.16245917399860016
bible,microsoft_translate,len_ratio,40,0.9708212405227954,0.1704350364985662
bible,chatgpt,llm_adequacy,40,2.125,0.9111137169026737
bible,gemini,llm_adequacy,40,3.825,0.9026314805852884
bible,google_translate,llm_adequacy,40,3.8,0.9114654303752999
bible,microsoft_translate,llm_adequacy,40,3.475,0.7156671622894873
bible,chatgpt,llm_error_tags,0,,
bible,gemini,llm_error_tags,0,,
bible,google_translate,llm_error_tags,0,,
bible,microsoft_translate,llm_error_tags,0,,
bible,chatgpt,llm_fluency,40,3.075,0.9167249398727053
bible,gemini,llm_fluency,40,4.25,0.5883484054145521
bible,google_translate,llm_fluency,40,4.125,0.6071159226949525
bible,microsoft_translate,llm_fluency,40,3.975,0.47971679679598983
bible,chatgpt,llm_overall,40,2.125,0.9111137169026737
bible,gemini,llm_overall,40,3.825,0.873762861685903
bible,google_translate,llm_overall,40,3.75,0.8987170342729172
bible,microsoft_translate,llm_overall,40,3.425,0.7120753345337008
bible,chatgpt,llm_rationale,0,,
bible,gemini,llm_rationale,0,,
bible,google_translate,llm_rationale,0,,
bible,microsoft_translate,llm_rationale,0,,
bible,chatgpt,llm_terminology,40,2.525,0.9604352645732545
bible,gemini,llm_terminology,40,4.275,0.7840558588159326
bible,google_translate,llm_terminology,40,4.275,0.6788942744621109
bible,microsoft_translate,llm_terminology,40,3.85,0.8335897041541448
bible,chatgpt,meteor,40,0.2418051239549453,0.13597497863657676
bible,gemini,meteor,40,0.4926544114183864,0.20772843814998448
bible,google_translate,meteor,40,0.6121597509489776,0.2122598464738016
bible,microsoft_translate,meteor,40,0.48598596242823,0.15381041757620015
bible,chatgpt,rouge1_f1,40,0.34147165245434674,0.12781613654989138
bible,gemini,rouge1_f1,40,0.573573292039302,0.1744026009435187
bible,google_translate,rouge1_f1,40,0.6794236286564297,0.16945972742008888
bible,microsoft_translate,rouge1_f1,40,0.5707005826829981,0.11492322917203333
bible,chatgpt,rouge1_p,40,0.35184646361613636,0.13303174753297833
bible,gemini,rouge1_p,40,0.5899073437290614,0.18405115618289025
bible,google_translate,rouge1_p,40,0.6906408459655774,0.18633867691350336
bible,microsoft_translate,rouge1_p,40,0.5885964427190856,0.1322134290674862
bible,chatgpt,rouge1_r,40,0.3385714555410801,0.13206876694809555
bible,gemini,rouge1_r,40,0.5670193147000432,0.17928485320149093
bible,google_translate,rouge1_r,40,0.6776374179724415,0.17100647399712082
bible,microsoft_translate,rouge1_r,40,0.5616441821846295,0.11703312225732988
bible,chatgpt,rouge2_f1,40,0.10429626020458949,0.09818971173448984
bible,gemini,rouge2_f1,40,0.31870649963221387,0.22356120533811197
bible,google_translate,rouge2_f1,40,0.47329597046143757,0.25534054636323256
bible,microsoft_translate,rouge2_f1,40,0.301552210077257,0.14322328409254337
bible,chatgpt,rouge2_p,40,0.1070885021100795,0.10028233535846923
bible,gemini,rouge2_p,40,0.3296885380548474,0.22977986523670993
bible,google_translate,rouge2_p,40,0.48562983163083207,0.27103736442298154
bible,microsoft_translate,rouge2_p,40,0.31293375912686244,0.1534075466206179
bible,chatgpt,rouge2_r,40,0.10353941995042945,0.09868439533793841
bible,gemini,rouge2_r,40,0.31384456644306546,0.22507104339708647
bible,google_translate,rouge2_r,40,0.46891276119667646,0.25076483927680965
bible,microsoft_translate,rouge2_r,40,0.2949320210918303,0.13893540222080888
bible,chatgpt,rougeL_f1,40,0.2924106898012211,0.12005756213217791
bible,gemini,rougeL_f1,40,0.5202772039398027,0.18180533249916891
bible,google_translate,rougeL_f1,40,0.6384473921426261,0.18903095910975276
bible,microsoft_translate,rougeL_f1,40,0.5150272539246885,0.11497291848145702
bible,chatgpt,rougeL_p,40,0.3019638953675473,0.12540184324247378
bible,gemini,rougeL_p,40,0.5351247202890537,0.19173488545146516
bible,google_translate,rougeL_p,40,0.6496891085328901,0.2057499793144528
bible,microsoft_translate,rougeL_p,40,0.5309618155562813,0.12939284545223492
bible,chatgpt,rougeL_r,40,0.2891766826708039,0.12205542249391306
bible,gemini,rougeL_r,40,0.5142750457915534,0.18429952771480063
bible,google_translate,rougeL_r,40,0.636337912832911,0.18907934305138355
bible,microsoft_translate,rougeL_r,40,0.5068899209934896,0.11565291197169852
bible,chatgpt,ter,40,0.891203849357281,0.18045414667200127
bible,gemini,ter,40,0.6554849891478196,0.22132979593877392
bible,google_translate,ter,40,0.5254163385516218,0.2495632102593788
bible,microsoft_translate,ter,40,0.667502064678318,0.1621244859829028
conversational,chatgpt,bertscore_f1,78,0.25809498684098703,0.25957121619699147
conversational,gemini,bertscore_f1,78,0.468573960606964,0.2682230307328308
conversational,google_translate,bertscore_f1,78,0.5278806507539673,0.2723255712051945
conversational,microsoft_translate,bertscore_f1,78,0.49333445441264373,0.24455251291197558
conversational,chatgpt,bleu,78,0.07011116012508027,0.08556065233077312
conversational,gemini,bleu,78,0.2045610531308428,0.22426827987335635
conversational,google_translate,bleu,78,0.1836950366221182,0.20827837204612254
conversational,microsoft_translate,bleu,78,0.2228427295327451,0.2651712120813443
conversational,chatgpt,bleurt,78,0.4495605301971619,0.1443132057096828
conversational,gemini,bleurt,78,0.6292989456500763,0.15785617963527696
conversational,google_translate,bleurt,78,0.6381630425651869,0.1821842875894309
conversational,microsoft_translate,bleurt,78,0.6185780465602875,0.17556319542201973
conversational,chatgpt,chrf,78,0.26178465346561336,0.1554356554994139
conversational,gemini,chrf,78,0.543452745140793,0.24283081476359944
conversational,google_translate,chrf,78,0.549657866807646,0.24336531105865464
conversational,microsoft_translate,chrf,78,0.5351522622522856,0.2505829685839227
conversational,chatgpt,comet,78,0.5873653724407538,0.13044199634669928
conversational,gemini,comet,78,0.7501150732621168,0.12189253379791098
conversational,google_translate,comet,78,0.75368255453232,0.1417960838622947
conversational,microsoft_translate,comet,78,0.7429839219802465,0.13751949128792085
conversational,chatgpt,edit_dist,78,19.78205128205128,9.923928102538278
conversational,gemini,edit_dist,78,14.166666666666666,11.476024320257178
conversational,google_translate,edit_dist,78,13.102564102564102,10.424234680045757
conversational,microsoft_translate,edit_dist,78,13.217948717948717,10.67299959771949
conversational,chatgpt,exact_match,78,0.0,0.0
conversational,gemini,exact_match,78,0.05128205128205128,0.22200011100008327
conversational,google_translate,exact_match,78,0.038461538461538464,0.19355241528469097
conversational,microsoft_translate,exact_match,78,0.07692307692307693,0.2681940937606045
conversational,chatgpt,len_ratio,78,1.1017380767380767,0.28911442835668333
conversational,gemini,len_ratio,78,1.1128154253154254,0.34547740981352293
conversational,google_translate,len_ratio,78,1.094438431938432,0.2817483171279207
conversational,microsoft_translate,len_ratio,78,1.0452450327450329,0.29399285321216256
