domain,direction,system,metric,n,mean,std
bible,en->fj,chatgpt,bertscore_f1,20,0.1545607487671077,0.14422803659500838
bible,en->fj,gemini,bertscore_f1,20,0.31206378610804675,0.19749574882993676
bible,en->fj,google_translate,bertscore_f1,20,0.37449521515518425,0.16984992831509965
bible,en->fj,microsoft_translate,bertscore_f1,20,0.3571128668263554,0.17962128315695336
bible,en->fj,chatgpt,bleu,20,0.045870666639904654,0.04155870963021988
bible,en->fj,gemini,bleu,20,0.17915214623374628,0.15202382640882126
bible,en->fj,google_translate,bleu,20,0.21117228236208554,0.14970363717555346
bible,en->fj,microsoft_translate,bleu,20,0.2145132897431541,0.16827758520117905
bible,en->fj,chatgpt,bleurt,20,0.3658581435680389,0.04342363769672615
bible,en->fj,gemini,bleurt,20,0.4383480414748192,0.10036042705723995
bible,en->fj,google_translate,bleurt,20,0.47721834033727645,0.08312765314252278
bible,en->fj,microsoft_translate,bleurt,20,0.4588175639510155,0.09282813666259981
bible,en->fj,chatgpt,chrf,20,0.294529312378224,0.09739308755396552
bible,en->fj,gemini,chrf,20,0.515588771940623,0.1298307004629985
bible,en->fj,google_translate,chrf,20,0.5562403888252175,0.08415877620724155
bible,en->fj,microsoft_translate,chrf,20,0.5460471422032324,0.11641541152046768
bible,en->fj,chatgpt,comet,20,0.6204095885157586,0.08930888268007775
bible,en->fj,gemini,comet,20,0.6788173168897629,0.07902938263474618
bible,en->fj,google_translate,comet,20,0.7021913260221482,0.06546584509396212
bible,en->fj,microsoft_translate,comet,20,0.6950207948684692,0.06112339209752378
bible,en->fj,chatgpt,edit_dist,20,78.1,23.808225027233096
bible,en->fj,gemini,edit_dist,20,62.55,26.470390608137397
bible,en->fj,google_translate,edit_dist,20,55.05,26.50019860898762
bible,en->fj,microsoft_translate,edit_dist,20,56.8,25.88354486419591
bible,en->fj,chatgpt,exact_match,20,0.0,0.0
bible,en->fj,gemini,exact_match,20,0.0,0.0
bible,en->fj,google_translate,exact_match,20,0.0,0.0
bible,en->fj,microsoft_translate,exact_match,20,0.0,0.0
bible,en->fj,chatgpt,len_ratio,20,1.020462788877183,0.22265928703821683
bible,en->fj,gemini,len_ratio,20,1.0535809209998512,0.153891664396136
bible,en->fj,google_translate,len_ratio,20,1.0668109338739429,0.1176935785070549
bible,en->fj,microsoft_translate,len_ratio,20,1.0204786654363491,0.1163981546831229
bible,en->fj,chatgpt,llm_adequacy,20,2.3,0.6569466853317865
bible,en->fj,gemini,llm_adequacy,20,3.85,0.5871429486123998
bible,en->fj,google_translate,llm_adequacy,20,3.75,0.6386663736585051
bible,en->fj,microsoft_translate,llm_adequacy,20,3.8,0.5231483637805969
bible,en->fj,chatgpt,llm_error_tags,0,,
bible,en->fj,gemini,llm_error_tags,0,,
bible,en->fj,google_translate,llm_error_tags,0,,
bible,en->fj,microsoft_translate,llm_error_tags,0,,
bible,en->fj,chatgpt,llm_fluency,20,3.05,0.8255779474818965
bible,en->fj,gemini,llm_fluency,20,4.1,0.4472135954999579
bible,en->fj,google_translate,llm_fluency,20,3.95,0.5104177855340404
bible,en->fj,microsoft_translate,llm_fluency,20,4.0,0.324442842261525
bible,en->fj,chatgpt,llm_overall,20,2.3,0.6569466853317865
bible,en->fj,gemini,llm_overall,20,3.8,0.6155870112510925
bible,en->fj,google_translate,llm_overall,20,3.65,0.5871429486123998
bible,en->fj,microsoft_translate,llm_overall,20,3.75,0.5501196042201808
bible,en->fj,chatgpt,llm_rationale,0,,
bible,en->fj,gemini,llm_rationale,0,,
bible,en->fj,google_translate,llm_rationale,0,,
bible,en->fj,microsoft_translate,llm_rationale,0,,
bible,en->fj,chatgpt,llm_terminology,20,2.55,0.7591546545162481
bible,en->fj,gemini,llm_terminology,20,4.2,0.6155870112510924
bible,en->fj,google_translate,llm_terminology,20,4.05,0.6048053188292994
bible,en->fj,microsoft_translate,llm_terminology,20,4.1,0.5525062514530825
bible,en->fj,chatgpt,meteor,20,0.22673020497234514,0.11448212113754119
bible,en->fj,gemini,meteor,20,0.46358100706754773,0.19803886393879305
bible,en->fj,google_translate,meteor,20,0.5299292611151658,0.13398558151256185
bible,en->fj,microsoft_translate,meteor,20,0.5104163389832879,0.1452369882370516
bible,en->fj,chatgpt,rouge1_f1,20,0.3500991504399121,0.1125033894088514
bible,en->fj,gemini,rouge1_f1,20,0.5460373549597063,0.1546710229460263
bible,en->fj,google_translate,rouge1_f1,20,0.6029822154000457,0.10275912467649685
bible,en->fj,microsoft_translate,rouge1_f1,20,0.586993214921791,0.12003504421453233
bible,en->fj,chatgpt,rouge1_p,20,0.3544353132728,0.11764524671600177
bible,en->fj,gemini,rouge1_p,20,0.5372818795139059,0.15411158302512035
bible,en->fj,google_translate,rouge1_p,20,0.5864351248936207,0.10805488275276193
bible,en->fj,microsoft_translate,rouge1_p,20,0.5869398448120343,0.13234970249281902
bible,en->fj,chatgpt,rouge1_r,20,0.3519458911588675,0.1130267188336155
bible,en->fj,gemini,rouge1_r,20,0.5600471325848566,0.16058642502531553
bible,en->fj,google_translate,rouge1_r,20,0.6235438147418457,0.10522351707868703
bible,en->fj,microsoft_translate,rouge1_r,20,0.5899586632748257,0.11154375853361767
bible,en->fj,chatgpt,rouge2_f1,20,0.08871392879990471,0.08321962672846873
bible,en->fj,gemini,rouge2_f1,20,0.2676260832294453,0.178770427635213
bible,en->fj,google_translate,rouge2_f1,20,0.33351669010720897,0.13185917448066464
bible,en->fj,microsoft_translate,rouge2_f1,20,0.3225012218882075,0.15761236787530183
bible,en->fj,chatgpt,rouge2_p,20,0.0888853530469289,0.08300856925180014
bible,en->fj,gemini,rouge2_p,20,0.26297105044838087,0.17352733822256836
bible,en->fj,google_translate,rouge2_p,20,0.32380932679416524,0.13073521945244573
bible,en->fj,microsoft_translate,rouge2_p,20,0.32386994088245935,0.16209111766710219
bible,en->fj,chatgpt,rouge2_r,20,0.08980785157579017,0.08523772075973149
bible,en->fj,gemini,rouge2_r,20,0.2744692208756582,0.1854930307063807
bible,en->fj,google_translate,rouge2_r,20,0.34579282260077876,0.1358005454744221
bible,en->fj,microsoft_translate,rouge2_r,20,0.32252011805341063,0.15378757179058714
bible,en->fj,chatgpt,rougeL_f1,20,0.2906044852167843,0.09864408402116215
bible,en->fj,gemini,rougeL_f1,20,0.47523679142437764,0.15260885495467869
bible,en->fj,google_translate,rougeL_f1,20,0.5446574384140116,0.11328315678729148
bible,en->fj,microsoft_translate,rougeL_f1,20,0.5256082542445201,0.11797714019593215
bible,en->fj,chatgpt,rougeL_p,20,0.2945771867700595,0.10425586037400142
bible,en->fj,gemini,rougeL_p,20,0.466456605066581,0.14989126356812588
bible,en->fj,google_translate,rougeL_p,20,0.5292492359497663,0.1143435780018866
