system,metric,n,mean,std
chatgpt,bertscore_f1,457,0.09535508365594503,0.3172179246439183
gemini,bertscore_f1,456,0.2911635905227485,0.3802595932069237
google_translate,bertscore_f1,457,0.2996716384397141,0.40376068303673657
microsoft_translate,bertscore_f1,457,0.28569512257935314,0.3855376904402753
chatgpt,bleu,457,0.0436672081168543,0.07157944522004775
gemini,bleu,457,0.1422175572978983,0.16979115158332644
google_translate,bleu,457,0.15810821722315316,0.19002377786663255
microsoft_translate,bleu,457,0.1500818760204646,0.18227037164977242
chatgpt,bleurt,457,0.352526789975375,0.17196727921053398
gemini,bleurt,456,0.49187295535873427,0.22345924759441405
google_translate,bleurt,457,0.48581188860098695,0.23361503164521208
microsoft_translate,bleurt,457,0.4806260987953232,0.22656236344053646
chatgpt,chrf,457,0.2346871579600082,0.15564589338984983
gemini,chrf,457,0.4425892796193374,0.2616572422805456
google_translate,chrf,457,0.44219212805712643,0.26354002258219655
microsoft_translate,chrf,457,0.43778041838415593,0.2554197074372409
chatgpt,comet,457,0.55474014893272,0.13554227023196663
gemini,comet,456,0.6639682896958109,0.17033295289738615
google_translate,comet,457,0.6651032043364168,0.17108234990017238
microsoft_translate,comet,457,0.6549519879877959,0.17216701452263883
chatgpt,edit_dist,457,74.87527352297593,125.04281626874227
gemini,edit_dist,457,63.798687089715536,119.6364144603939
google_translate,edit_dist,457,60.89059080962801,116.96378703283534
microsoft_translate,edit_dist,457,62.306345733041574,117.99082918196174
chatgpt,exact_match,457,0.002188183807439825,0.04677802697249868
gemini,exact_match,457,0.0525164113785558,0.22331045048511608
google_translate,exact_match,457,0.037199124726477024,0.18945683487257534
microsoft_translate,exact_match,457,0.04157549234135667,0.19983581882579696
chatgpt,len_ratio,457,1.2366620421635803,0.9322680742476499
gemini,len_ratio,457,1.1038985870427038,0.7181743383501378
google_translate,len_ratio,457,1.1433643657721515,0.8571722833985758
microsoft_translate,len_ratio,457,1.1119626332067791,0.7935084666214883
chatgpt,llm_adequacy,457,1.785557986870897,0.8468008459000193
gemini,llm_adequacy,456,3.0482456140350878,1.2691942555111433
google_translate,llm_adequacy,453,2.944812362030905,1.2298106813893055
microsoft_translate,llm_adequacy,457,2.964989059080963,1.2560728141129884
chatgpt,llm_error_tags,0,,
gemini,llm_error_tags,0,,
google_translate,llm_error_tags,0,,
microsoft_translate,llm_error_tags,0,,
chatgpt,llm_fluency,457,2.737417943107221,0.95569639481548
gemini,llm_fluency,456,3.745614035087719,1.0424940804851277
google_translate,llm_fluency,453,3.615894039735099,1.0675892565055127
microsoft_translate,llm_fluency,457,3.6061269146608317,1.0771783769586039
chatgpt,llm_overall,457,1.7964989059080962,0.8456213305951846
gemini,llm_overall,456,3.050438596491228,1.2595480719972008
google_translate,llm_overall,453,2.9403973509933774,1.2114778589907558
microsoft_translate,llm_overall,457,2.9540481400437635,1.2319174639675896
chatgpt,llm_rationale,0,,
gemini,llm_rationale,0,,
google_translate,llm_rationale,0,,
microsoft_translate,llm_rationale,0,,
chatgpt,llm_terminology,457,2.0919037199124726,0.9846854112511615
gemini,llm_terminology,456,3.3991228070175437,1.2678264251173932
google_translate,llm_terminology,453,3.2869757174392937,1.2766566165832114
microsoft_translate,llm_terminology,457,3.262582056892779,1.333188166307593
chatgpt,meteor,457,0.18306761008488429,0.18254023139667058
gemini,meteor,457,0.37800187829964665,0.26741166061224214
google_translate,meteor,457,0.38547520615742786,0.2751115071946362
microsoft_translate,meteor,457,0.3813744966850765,0.26986395903034144
chatgpt,rouge1_f1,457,0.2505143109607323,0.20633514543274442
gemini,rouge1_f1,456,0.4576321317556849,0.2899802397329001
google_translate,rouge1_f1,457,0.45849593986073317,0.2870255392858216
microsoft_translate,rouge1_f1,457,0.45392356100433956,0.28434042075166
chatgpt,rouge1_p,457,0.2568674367055304,0.21461681179521194
gemini,rouge1_p,456,0.46998225732896076,0.2905786489590982
google_translate,rouge1_p,457,0.4731204429841057,0.2952449562486098
microsoft_translate,rouge1_p,457,0.4712927139754885,0.29133602545721987
chatgpt,rouge1_r,457,0.26659380327999904,0.22835079457004495
gemini,rouge1_r,456,0.48316852591349024,0.31145276643615893
google_translate,rouge1_r,457,0.4829708931374703,0.31109714881061357
microsoft_translate,rouge1_r,457,0.47446922994143187,0.30625329527539946
chatgpt,rouge2_f1,457,0.068210360851321,0.11635679161846654
gemini,rouge2_f1,456,0.2097765847806608,0.2390996505478912
google_translate,rouge2_f1,457,0.23103155896662222,0.24818766559162683
microsoft_translate,rouge2_f1,457,0.22318148561382722,0.23760052746258012
chatgpt,rouge2_p,457,0.06635941687637179,0.11247641285590756
gemini,rouge2_p,456,0.21128112834364518,0.2459895106457309
google_translate,rouge2_p,457,0.2333139606987378,0.253067837186679
microsoft_translate,rouge2_p,457,0.22479767033027986,0.24366256767564937
chatgpt,rouge2_r,457,0.07293560276506976,0.12560799397484917
gemini,rouge2_r,456,0.21970269381666838,0.24787587047475845
google_translate,rouge2_r,457,0.2390400904296623,0.2553114799148461
microsoft_translate,rouge2_r,457,0.22998291180679825,0.24400792214160055
chatgpt,rougeL_f1,457,0.22243139484275812,0.19041961766655358
gemini,rougeL_f1,456,0.4280210879261764,0.28481666646571874
google_translate,rougeL_f1,457,0.4287866591403941,0.27947156373100496
microsoft_translate,rougeL_f1,457,0.42281383979470816,0.2743455308465263
chatgpt,rougeL_p,457,0.22845310926448809,0.19957161962253206
gemini,rougeL_p,456,0.43952915706485546,0.2868273877511053
google_translate,rougeL_p,457,0.44287828393122886,0.2880602270795209
microsoft_translate,rougeL_p,457,0.4395733018711265,0.2820495999192437
chatgpt,rougeL_r,457,0.23699280770667747,0.21177615372004557
gemini,rougeL_r,456,0.4522779484898259,0.3055726180408962
google_translate,rougeL_r,457,0.45254341005452076,0.3044414680355682
microsoft_translate,rougeL_r,457,0.44305199905429343,0.29774288104646096
chatgpt,ter,457,1.1975426508629183,0.879434011261698
gemini,ter,456,0.872951254294854,0.6823520354064925
google_translate,ter,457,0.9137943616373313,0.8873842515963591
microsoft_translate,ter,457,0.8927436944919599,0.781679520892458
