domain,system,n,adequacy_1to5_mean,adequacy_1to5_std,fluency_1to5_mean,fluency_1to5_std,cohesion_discourse_optional_mean,cohesion_discourse_optional_std
bible,chatgpt,40,3.95,0.8755950357709131,3.5,0.9058216273156766,,
bible,gemini,40,3.85,1.0265700920278917,3.5,1.0127393670836666,,
bible,google_translate,40,3.425,1.1067971810589325,3.925,0.9167249398727052,,
bible,microsoft_translate,40,3.55,1.0365128915546467,4.1,0.810191493666934,,
conversational,chatgpt,59,3.694915254237288,0.9514822789611425,3.542372881355932,0.9706385011638242,,
conversational,gemini,53,3.660377358490566,0.9186820875248638,3.641509433962264,0.942466886229993,,
conversational,google_translate,42,3.4761904761904763,1.0873573971677286,3.5238095238095237,0.8900012397386609,,
conversational,microsoft_translate,43,3.9069767441860463,0.9210230721574191,3.7209302325581395,1.0077221223973365,,
definition,chatgpt,58,3.5689655172413794,1.1256509846044445,3.5344827586206895,0.9772054182832188,,
definition,gemini,49,3.7551020408163267,1.1278780268882866,3.6530612244897958,1.0318070800009738,,
definition,google_translate,43,3.372093023255814,1.091596816681077,3.7906976744186047,1.059158235736189,,
definition,microsoft_translate,43,3.7209302325581395,1.3331948986827675,3.5348837209302326,1.0767861619366241,,
dictionary,chatgpt,13,3.769230769230769,1.0919284281983377,3.1538461538461537,1.0681880176381127,,
dictionary,gemini,13,3.6923076923076925,0.9473309334313419,3.8461538461538463,0.898717034272917,,
dictionary,google_translate,11,3.5454545454545454,1.0357254813546264,3.8181818181818183,0.8738628975053029,,
dictionary,microsoft_translate,11,4.0,1.0,3.4545454545454546,1.1281521496355325,,
idiom,chatgpt,10,2.9,1.1005049346146119,3.7,1.0593499054713802,,
idiom,gemini,10,3.8,0.9189365834726815,3.8,0.9189365834726815,,
idiom,google_translate,9,3.7777777777777777,0.9718253158075502,3.5555555555555554,1.4240006242195884,,
idiom,microsoft_translate,9,4.333333333333333,0.7071067811865476,4.0,1.0,,
legal,chatgpt,60,3.5,0.9829047232134223,3.9,1.0201362487931185,,
legal,gemini,57,3.6140350877192984,1.030852385942823,3.736842105263158,1.026893995598128,,
legal,google_translate,58,3.6206896551724137,1.0732404810043952,3.5,1.1277986631315908,,
legal,microsoft_translate,57,3.543859649122807,1.1660399319092885,3.6140350877192984,1.030852385942823,,
medical,chatgpt,57,3.6491228070175437,1.0772191060811471,3.6140350877192984,0.9210705333025784,,
medical,gemini,56,3.732142857142857,1.1199199878655528,3.6964285714285716,0.9708411134333296,,
medical,google_translate,55,3.618181818181818,1.027238460737747,3.8,0.9506333171647747,,
medical,microsoft_translate,55,3.4909090909090907,1.0864949979044456,3.7454545454545456,0.9854155321709569,,
