domain,direction,system,n,adequacy_1to5_mean,adequacy_1to5_std,fluency_1to5_mean,fluency_1to5_std,cohesion_discourse_optional_mean,cohesion_discourse_optional_std
bible,en->fj,chatgpt,20,4.1,0.7181848464596078,3.65,0.8750939799154207,,
bible,en->fj,gemini,20,3.95,1.3168942730211068,3.5,0.9459053029269173,,
bible,en->fj,google_translate,20,3.4,1.1876558069531231,4.0,1.0760551736979407,,
bible,en->fj,microsoft_translate,20,3.45,1.0990426455975697,4.25,0.7863975156570492,,
bible,fj->en,chatgpt,20,3.8,1.0052493799000692,3.35,0.9333020044867295,,
bible,fj->en,gemini,20,3.75,0.6386663736585051,3.5,1.1002392084403616,,
bible,fj->en,google_translate,20,3.45,1.0500626547722611,3.85,0.7451598203705946,,
bible,fj->en,microsoft_translate,20,3.65,0.9880869341680844,3.95,0.8255779474818963,,
conversational,en->fj,chatgpt,29,3.8275862068965516,1.0374751465953078,3.413793103448276,0.8667361346416774,,
conversational,en->fj,gemini,25,3.64,0.8602325267042628,3.36,0.9073771725877467,,
conversational,en->fj,google_translate,20,3.3,1.1285761872936697,3.55,0.9445132413883328,,
conversational,en->fj,microsoft_translate,19,3.8947368421052633,0.9941348467724342,3.6842105263157894,1.108183277007281,,
conversational,fj->en,chatgpt,30,3.566666666666667,0.8583598366625749,3.6666666666666665,1.0613372610104648,,
conversational,fj->en,gemini,28,3.6785714285714284,0.9833266074561477,3.892857142857143,0.9164862737363227,,
conversational,fj->en,google_translate,22,3.6363636363636362,1.0486024506776148,3.5,0.8591246929842246,,
conversational,fj->en,microsoft_translate,24,3.9166666666666665,0.8805466023105076,3.75,0.9440891630699332,,
definition,en->fj,chatgpt,30,3.566666666666667,1.2780193008453875,3.533333333333333,0.9371024061116424,,
definition,en->fj,gemini,23,3.869565217391304,1.0576280419404613,3.6956521739130435,1.1051442772406626,,
definition,en->fj,google_translate,19,3.526315789473684,1.0733344230135038,3.9473684210526314,1.177270110161938,,
definition,en->fj,microsoft_translate,19,3.6315789473684212,1.42245977548242,3.736842105263158,1.0457376590053493,,
definition,fj->en,chatgpt,28,3.5714285714285716,0.9594972228385661,3.5357142857142856,1.0357370915204895,,
definition,fj->en,gemini,26,3.6538461538461537,1.1980753796755093,3.6153846153846154,0.9829312519977406,,
definition,fj->en,google_translate,24,3.25,1.1131623577819225,3.6666666666666665,0.9630868246861536,,
definition,fj->en,microsoft_translate,24,3.7916666666666665,1.284664282542556,3.375,1.0959411282189109,,
dictionary,fj->en,chatgpt,13,3.769230769230769,1.0919284281983377,3.1538461538461537,1.0681880176381127,,
dictionary,fj->en,gemini,13,3.6923076923076925,0.9473309334313419,3.8461538461538463,0.898717034272917,,
dictionary,fj->en,google_translate,11,3.5454545454545454,1.0357254813546264,3.8181818181818183,0.8738628975053029,,
dictionary,fj->en,microsoft_translate,11,4.0,1.0,3.4545454545454546,1.1281521496355325,,
idiom,fj->en,chatgpt,10,2.9,1.1005049346146119,3.7,1.0593499054713802,,
idiom,fj->en,gemini,10,3.8,0.9189365834726815,3.8,0.9189365834726815,,
idiom,fj->en,google_translate,9,3.7777777777777777,0.9718253158075502,3.5555555555555554,1.4240006242195884,,
idiom,fj->en,microsoft_translate,9,4.333333333333333,0.7071067811865476,4.0,1.0,,
legal,en->fj,chatgpt,30,3.5,1.0747894741730137,3.933333333333333,1.01483252680985,,
legal,en->fj,gemini,28,3.8214285714285716,0.9449111825230682,4.035714285714286,0.9222413461394479,,
legal,en->fj,google_translate,28,3.642857142857143,1.0261140545329512,3.4642857142857144,1.0708993401928106,,
legal,en->fj,microsoft_translate,28,3.392857142857143,1.196887497862553,3.75,0.9670497325294006,,
legal,fj->en,chatgpt,30,3.5,0.9001915504970077,3.8666666666666667,1.0416609195243753,,
legal,fj->en,gemini,29,3.413793103448276,1.0861873483267168,3.4482758620689653,1.0551305571401284,,
legal,fj->en,google_translate,30,3.6,1.1325893433586842,3.533333333333333,1.1957780134587124,,
legal,fj->en,microsoft_translate,29,3.689655172413793,1.137147065368355,3.4827586206896552,1.0895834608815431,,
medical,en->fj,chatgpt,30,3.6666666666666665,0.9942362632324556,3.8,0.7143842296595069,,
medical,en->fj,gemini,29,3.689655172413793,1.0724953638215502,3.7241379310344827,0.9597824055533901,,
medical,en->fj,google_translate,29,3.5517241379310347,1.0551305571401284,3.5517241379310347,1.0207212749728822,,
medical,en->fj,microsoft_translate,30,3.4,1.0034423509719619,3.8,0.8866830868758714,,
medical,fj->en,chatgpt,27,3.6296296296296298,1.1815292615976114,3.4074074074074074,1.0834155129908256,,
medical,fj->en,gemini,27,3.7777777777777777,1.1875421719907084,3.6666666666666665,0.9999999999999999,,
medical,fj->en,google_translate,26,3.6923076923076925,1.0107118588096518,4.076923076923077,0.7961445558729608,,
medical,fj->en,microsoft_translate,25,3.6,1.1902380714238083,3.68,1.1075498483890767,,
