,,bleu_score,bleu_score,bleu_score,bleu_score,bleu_score,chrfpp_score,chrfpp_score,chrfpp_score,chrfpp_score,chrfpp_score,ter_score,ter_score,ter_score,ter_score,ter_score,sent_bleu_nltk,sent_bleu_nltk,sent_bleu_nltk,sent_bleu_nltk,sent_bleu_nltk
,,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max
translation,system,,,,,,,,,,,,,,,,,,,,
English to Fijian,GPT-5,3,8.05803113445284,3.4745265894007877,4.08248290463863,10.513349070588395,3,38.231887932027014,21.407552829445123,13.753756328709208,53.454093531528855,3,105.55555555555556,54.3799220845886,62.5,166.66666666666669,3,0.08058031134452841,0.03474526589400788,0.040824829046386304,0.10513349070588397
English to Fijian,Gemini 1.5 Pro,3,6.848955612499291,6.893799112315691,2.1105340631872647,14.757569524382832,3,35.297136238821736,19.782807595562424,15.13429924566942,54.67664484324901,3,147.5,132.35841491949049,62.5,300.0,3,0.06848955612499291,0.06893799112315692,0.021105340631872645,0.14757569524382833
English to Fijian,Google Translate,3,11.946204512762755,8.770592238532926,2.777619034011792,20.25555677565484,3,41.22002548833112,15.649670049421383,23.60072978881593,53.50566052816016,3,131.11111111111111,93.47211903576935,50.0,233.33333333333331,3,0.11946204512762755,0.08770592238532926,0.02777619034011792,0.2025555677565484
English to Fijian,Microsoft Translator,3,2.7640364804355984,0.8472007390636962,1.7875390617108518,3.303164318013806,3,25.780283100603413,15.157297416539286,14.552068503387067,43.02147355418093,3,129.58333333333334,62.379049634739815,81.25,200.0,3,0.027640364804355985,0.008472007390636962,0.01787539061710852,0.033031643180138064
Fijian to English,GPT-5,3,10.348115628530715,9.692833831086407,4.17991745584234,21.520232157603747,3,36.41314988963985,23.51437813549936,9.596356097413684,53.505384068826864,3,68.98989898989899,12.55413743342313,60.0,83.33333333333334,3,0.10348115628530714,0.09692833831086406,0.0417991745584234,0.21520232157603747
Fijian to English,Gemini 1.5 Pro,4,6.980150948456982,5.933688450657881,2.692050880955932,15.73366652450736,4,38.99926803352244,18.241913769586628,12.185011839679364,53.07736417093355,4,98.61742424242425,51.55481149373228,63.63636363636363,175.0,4,0.07167171901551447,0.05762811276870016,0.03440134693333791,0.15733666524507361
Fijian to English,Google Translate,4,7.033821234143446,6.015144029560841,2.6012784404037923,15.920362546548075,4,35.70688891302714,17.274106364652255,11.64851695968929,51.41653939756434,4,102.76515151515152,48.35974627402202,72.72727272727273,175.0,4,0.07033821234143446,0.060151440295608406,0.026012784404037925,0.15920362546548075
Fijian to English,Microsoft Translator,4,4.851377560003347,5.979297262564868,0.0,13.182877145894317,4,32.491404789206754,16.4071449408032,13.507137281716394,49.80216978407566,4,117.95454545454545,63.77987065545403,77.5,212.5,4,0.04851377560003347,0.059792972625648685,0.0,0.13182877145894317
