translation,sentence_type,system,src,ref,hyp,bleu_score,chrfpp_score,ter_score,adequacy,fluency,cohesion,sent_bleu_nltk,levenshtein_ratio
Fijian to English,short,GPT-5,"""Vakawaqana na ilokoloko""","""Put the pillow in the pillowcase""","""Break the dishes""",4.17991745584234,9.596356097413684,83.33333333333334,1,1,1,0.0417991745584234,0.2941176470588235
Fijian to English,short,Gemini 1.5 Pro,"""Vakawaqana na ilokoloko""","""Put the pillow in the pillowcase""","""Start the engine.""",4.17991745584234,12.185011839679364,83.33333333333334,1,1,1,0.0417991745584234,0.2647058823529411
Fijian to English,short,Google Translate,"""Vakawaqana na ilokoloko""","""Put the pillow in the pillowcase""","""Turn on the clock""",4.873039689743777,11.64851695968929,83.33333333333334,1,1,1,0.04873039689743777,0.4117647058823529
Fijian to English,short,Microsoft Translator,"""Vakawaqana na ilokoloko""","""Put the pillow in the pillowcase""","""The settlement has been established.""",0.0,13.507137281716394,100.0,1,1,1,0.0,0.21052631578947367
English to Fijian,short,GPT-5,"""Put the pillow in the pillowcase""","""Vakawaqana na ilokoloko""","""Biuta na ulunivanua ena kena cover""",4.08248290463863,13.753756328709208,166.66666666666669,1,1,1,0.040824829046386304,0.33333333333333337
English to Fijian,short,Gemini 1.5 Pro,"""Put the pillow in the pillowcase""","""Vakawaqana na ilokoloko""","""Biuta na itutuvi ni uluna ena loma ni nona itutuvi""",2.1105340631872647,15.13429924566942,300.0,1,1,1,0.021105340631872645,0.23076923076923073
English to Fijian,short,Google Translate,"""Put the pillow in the pillowcase""","""Vakawaqana na ilokoloko""","""Vanuia na pilo ki na pilo ni vovo""",2.777619034011792,23.60072978881593,233.33333333333331,1,1,1,0.02777619034011792,0.4285714285714286
English to Fijian,short,Microsoft Translator,"""Put the pillow in the pillowcase""","""Vakawaqana na ilokoloko""","""Biuta na itutuvi ena kato ni itutuvi""",3.303164318013806,14.552068503387067,200.0,1,1,1,0.033031643180138064,0.26315789473684215
Fijian to English,long,GPT-5,"""Keitou na bose tiko na gasenilotu ena siga vakarauwai ga oqo.""","""We are meeting as church elders in the church this Saturday.""","""We will have the church meeting this very Saturday.""",5.344197272146059,46.13770950267901,63.63636363636363,4,4,4,0.05344197272146059,0.467741935483871
Fijian to English,long,Gemini 1.5 Pro,"""Keitou na bose tiko na gasenilotu ena siga vakarauwai ga oqo.""","""We are meeting as church elders in the church this Saturday.""","""We will be having the church meeting this coming Saturday.""",5.314968932522299,45.35636270024834,63.63636363636363,4,4,4,0.05314968932522299,0.5
Fijian to English,long,Google Translate,"""Keitou na bose tiko na gasenilotu ena siga vakarauwai ga oqo.""","""We are meeting as church elders in the church this Saturday.""","We're going to have a meeting with the church on Saturday.""",4.740604259878138,44.04870076403813,72.72727272727273,2,3,3,0.04740604259878138,0.5483870967741935
Fijian to English,long,Microsoft Translator,"""Keitou na bose tiko na gasenilotu ena siga vakarauwai ga oqo.""","""We are meeting as church elders in the church this Saturday.""","""We are having a meeting of the church only on this coming Sunday.""",5.142401605028264,41.875609247851024,81.81818181818183,2,3,3,0.051424016050282635,0.4626865671641791
English to Fijian,long,GPT-5,"""We just came back from the boys camp, and it was a great camp.""","""Keitou sa qai suka mai qo ena keba ni tagane, sa bau dua na keba totoka.""","""Keitou sa qai lesu mai na keba ni gone tagane, ka a keba vinaka sara.""",9.578261428131492,47.48781393584298,62.5,5,5,5,0.09578261428131493,0.6081081081081081
English to Fijian,long,Gemini 1.5 Pro,"""We just came back from the boys camp, and it was a great camp.""","""Keitou sa qai suka mai qo ena keba ni tagane, sa bau dua na keba totoka.""","""Keitou qai lesu mai na nodra keba na cauravou, ka sa dua dina na keba vinaka.""",3.6787632499277767,36.080464627546775,62.5,5,5,5,0.036787632499277766,0.6075949367088608
English to Fijian,long,Google Translate,"""We just came back from the boys camp, and it was a great camp.""","""Keitou sa qai suka mai qo ena keba ni tagane, sa bau dua na keba totoka.""","""Keimami se qai lesu mai na keba ni gonetagane, ka sa dua na keba totoka.""",20.25555677565484,53.50566052816016,50.0,5,5,5,0.2025555677565484,0.7297297297297297
English to Fijian,long,Microsoft Translator,"""We just came back from the boys camp, and it was a great camp.""","""Keitou sa qai suka mai qo ena keba ni tagane, sa bau dua na keba totoka.""","""Eda sa mai titi kemu mai na camp ni nona tiki, ka sa dua na camp magiti.""",3.201406061582137,19.767307244242232,81.25,1,2,2,0.03201406061582137,0.4054054054054054
Fijian to English,idomatic,Gemini 1.5 Pro,"""Veikilai na toa ni Qamea. Veikilai nodrau I tovo ni veitalanoa, veivosaki tale ga""","""They know each others ways, dialect and actions""","""The chickens of Qamea know each other. They know their way of conversing, and also their discussions.""",2.692050880955932,45.378333423228526,175.0,1,3,3,0.03440134693333791,0.3689320388349514
Fijian to English,idomatic,Google Translate,"""Veikilai na toa ni Qamea. Veikilai nodrau I tovo ni veitalanoa, veivosaki tale ga""","""They know each others ways, dialect and actions""","""The heroes of Qamea know each other. Know their way of talking, talk to each other""",2.6012784404037923,35.71379853081681,175.0,4,4,4,0.026012784404037925,0.3928571428571429
Fijian to English,idomatic,Microsoft Translator,"""Veikilai na toa ni Qamea. Veikilai nodrau I tovo ni veitalanoa, veivosaki tale ga""","""They know each others ways, dialect and actions""","""The bravery of the people of Qamea is well known. Their character is demonstrated through discussions and conversations.""",1.0802314890908065,24.78070284318395,212.5,3,3,3,0.010802314890908065,0.2704918032786885
Fijian to English,domain specific,GPT-5,"""E dau dredre me kilai na ivakatakilakila taumada ni dementia. E levu na mate e rawa ni vakavuna eso na ivakatakilakila ni mate e via tautauvata kei na dementia. E levu vei ira na mate oqori era rawa ni qaravi. E bibi gona mo raica vakatotolo na nomu vuniwai se vakailesilesi ni tabana ni bula kevaka ko lomaleqataka.""","""The early signs and symptoms of dementia can be hard to notice. Many illnesses can cause dementia-like symptoms. Some of these illnesses are treatable. That is why you should see your doctor or health care provider if you are worried.""","""The early signs of dementia can be difficult to identify. Many other illnesses can cause symptoms that are similar to those of dementia. Many of these conditions can be treated. It is therefore important to see your doctor or health professional quickly if you are concerned.""",21.520232157603747,53.505384068826864,60.0,4,4,4,0.21520232157603747,0.5198555956678701
Fijian to English,domain specific,Gemini 1.5 Pro,"""E dau dredre me kilai na ivakatakilakila taumada ni dementia. E levu na mate e rawa ni vakavuna eso na ivakatakilakila ni mate e via tautauvata kei na dementia. E levu vei ira na mate oqori era rawa ni qaravi. E bibi gona mo raica vakatotolo na nomu vuniwai se vakailesilesi ni tabana ni bula kevaka ko lomaleqataka.""","""The early signs and symptoms of dementia can be hard to notice. Many illnesses can cause dementia-like symptoms. Some of these illnesses are treatable. That is why you should see your doctor or health care provider if you are worried.""","""It is often difficult to identify the early signs of dementia. Many illnesses can cause symptoms that are similar to dementia. Many of those illnesses can be treated. Therefore, it is important that you see your doctor or a health official quickly if you are concerned.""",15.73366652450736,53.07736417093355,72.5,5,5,5,0.15733666524507361,0.4833948339483395
Fijian to English,domain specific,Google Translate,"""E dau dredre me kilai na ivakatakilakila taumada ni dementia. E levu na mate e rawa ni vakavuna eso na ivakatakilakila ni mate e via tautauvata kei na dementia. E levu vei ira na mate oqori era rawa ni qaravi. E bibi gona mo raica vakatotolo na nomu vuniwai se vakailesilesi ni tabana ni bula kevaka ko lomaleqataka.""","""The early signs and symptoms of dementia can be hard to notice. Many illnesses can cause dementia-like symptoms. Some of these illnesses are treatable. That is why you should see your doctor or health care provider if you are worried.""","""It is often difficult to recognize the early signs of dementia. There are many diseases that can cause some symptoms that are similar to dementia. Most of those diseases are treatable. So it is important to see your doctor or health care professional immediately if you are concerned.""",15.920362546548075,51.41653939756434,80.0,4,4,4,0.15920362546548075,0.47902097902097907
Fijian to English,domain specific,Microsoft Translator,"""E dau dredre me kilai na ivakatakilakila taumada ni dementia. E levu na mate e rawa ni vakavuna eso na ivakatakilakila ni mate e via tautauvata kei na dementia. E levu vei ira na mate oqori era rawa ni qaravi. E bibi gona mo raica vakatotolo na nomu vuniwai se vakailesilesi ni tabana ni bula kevaka ko lomaleqataka.""","""The early signs and symptoms of dementia can be hard to notice. Many illnesses can cause dementia-like symptoms. Some of these illnesses are treatable. That is why you should see your doctor or health care provider if you are worried.""","""It can be difficult to recognize the early signs of dementia. Many conditions can cause symptoms that closely resemble those of dementia. Many of those illnesses can be treated. Therefore, it is important to see your doctor or health department promptly if you have concerns.""",13.182877145894317,49.80216978407566,77.5,4,4,4,0.13182877145894317,0.45848375451263534
